repository_language,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
Ruby,99274,2131628,63376002985,490048134,37618451,1367901667
Java,156329,2883500,322936770689,138689898,43238464,326299594
C,55225,1311168,146878918576,120258083,31197022,379025025
C#,39931,592619,32028452761,20099137,9422728,52510173
Clojure,5733,101846,431852155,4121900,2635088,41540605
F#,742,21173,528609967,479513,231066,1352611
Python,113860,2560340,122401727602,174817054,77339230,586651078
AppleScript,395,3015,12130427,9710,1213,48379
PHP,107717,2113724,62609128399,179650379,61414706,465544584
C++,56653,1318294,185337670095,92428193,46371603,325196665
Go,10715,267165,1798963176,33537962,10106369,248945966
CSS,103178,1732487,23890459902,496890450,19560451,1492508632
JavaScript,216424,4890038,127045681359,819752555,242168364,3698080831
Shell,36570,682837,35207122564,42484148,5886670,156861118
Objective-C,41129,638645,8498868805,48209499,6894943,269716772
Processing,1825,15294,163602577,113827,19198,419966
ActionScript,3030,34978,1809270725,1312148,389378,5284568
Groovy,3566,55189,739380252,459889,223142,1505459
R,11698,119324,2015163569,974117,478189,3380486
Pascal,1026,12948,703002689,72952,26943,168621
VimL,5612,181561,579340353,11260648,1147420,61822186
Perl,13831,195316,7562751323,3218283,1414585,9044119
TeX,7473,141293,5409035223,571461,644845,2155138
Racket,683,8668,287110996,220560,71600,826553
Haskell,6040,99393,587376653,1421575,894403,7969447
CoffeeScript,10529,222227,1158564905,14074705,3205175,86991266
Emacs Lisp,3411,97421,1235114569,3030931,430700,9764298
Scala,8135,204697,8388224482,20423948,4041933,73416481
Tcl,425,4746,75342669,8459,5387,19785
PowerShell,1371,17966,125663780,297436,157958,1531061
IDL,567,9511,857041601,240252,456832,1214994
Lua,5958,104086,2124875889,1779550,559579,3880895
Assembly,1597,21263,666911963,280236,67878,1773546
Scheme,1219,15801,77410530,55114,22212,268038
D,1544,31255,461189963,1371413,275576,2718422
Perl6,52,940,14496200,87184,5845,292050
OCaml,1340,31118,448867075,358555,245328,1256130
Common Lisp,1518,21085,197769134,163599,81985,1155267
Julia,789,39084,1439099848,8625738,8551463,43778386
Matlab,3872,42566,2149766233,220289,113526,430537
Dart,1561,38582,383882601,1494682,1178156,10290924
TypeScript,2381,81551,5742707612,24798584,5418095,40507688
Rust,744,57537,8159075881,24442109,38208147,117139951
XSLT,1260,27197,701983499,2039300,259605,1616201
Erlang,2744,53481,1332606848,2725270,553698,9378157
Arduino,3885,26792,95040435,128367,21683,306495
Turing,18,176,1875060,144,101,303
Elixir,595,12450,83782868,578397,75033,4089208
Standard ML,233,3939,63725081,10084,9603,32468
Haxe,779,20693,439196442,682044,628170,2705401
NetLogo,64,835,6001499,720,4865,2476
Logos,486,4681,55219282,102867,3518,63640
Kotlin,89,1783,33497143,6417,5070,19639
Coq,136,2958,11588180,22789,10111,76710
Puppet,3374,62928,486098787,665889,104974,760802
Ragel in Ruby Host,14,159,605692,2296,314,9090
Factor,25,753,56694499,30549,102602,121481
Objective-J,105,2523,120308581,184966,75396,1124518
VHDL,622,9896,153904471,16948,14430,31854
Verilog,570,6126,89626817,15092,5816,26746
LiveScript,274,7078,172210403,277341,101469,921138
ASP,1311,14093,763258472,47113,12166,54906
Slash,61,978,67572061,6844,3993,7484
ColdFusion,439,7658,343002485,196099,526934,396673
DM,94,27863,9797444943,5451435,3590910,1693164
BlitzBasic,168,5205,148275453,45068,9926,36033
XML,117,4250,199475431,41956,32558,28895
Visual Basic,2004,17062,324033341,55864,43471,928089
Elm,85,1231,2418186,13898,3051,19128
Parrot,17,344,25723583,8406,6478,21859
Lasso,31,5582,140116256,4200336,498325,3024185
Ada,146,1871,21568344,1788,2523,3548
Max,235,3073,185064680,5687,230215,17248
Crystal,8,709,10495911,16112,6737,321926
Awk,130,1166,20491710,4568,1866,36333
DOT,279,3983,454900648,10200,5351,35248
Apex,388,4788,23346523,21806,246025,24702
nesC,177,8733,1272326419,120259,89763,105895
Pure Data,184,1169,6127450,6404,447,13457
XProc,16,390,3142156,327,518,892
M,267,2207,58464378,7145,1671,55487
FORTRAN,1051,13367,651944030,69488,53484,147765
HaXe,136,763,3092274,3303,1450,17049
OpenEdge ABL,226,2548,156804396,10251,2484,6848
ooc,47,475,3525718,620,284,2250
Vala,218,7565,37827317,104414,88088,1800784
xBase,42,1875,571612680,2379,6060,2678
DCPU-16 ASM,29,178,114729,422,498,2558
AutoHotkey,336,4533,12191268,5860,7362,20953
Smalltalk,151,2806,49603782,7462,13201,15859
Bro,24,147,344986,85,7,387
Agda,95,1265,2259679,2122,509,11912
MoonScript,56,785,1958408,670,256,5416
Rebol,31,194,331259,338,1071,823
Nimrod,89,2610,585586072,104778,340545,660140
Idris,46,588,112698,358,54,4333
XQuery,122,1752,10696654,5095,7270,10412
Dylan,50,1315,56675035,14081,19045,60836
Ceylon,36,863,3198785,11290,18717,17462
SuperCollider,93,855,4103748,473,1387,1965
Monkey,32,222,914494,129,147,561
KRL,41,6258,4339187,2680,0,2035
Prolog,246,918,9984736,3150,436,14543
Pike,27,465,1157707,828,342,1580
Arc,39,416,16048238,8776,629,49401
Eiffel,91,2064,71404264,21922,9269,19386
Nemerle,79,872,35994301,9367,11198,25245
COBOL,31,548,24593215,590,115,2799
Xtend,73,1530,31838495,3615,32059,15564
