repository_language,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
Augeas,11,369,2987951,14638,2293,23787
XC,67,827,9243431,1811,256,1705
ANTLR,51,336,2453931,70,162,299
AutoIt,150,1911,10646169,3289,1696,4468
Squirrel,82,664,1105276,1610,626,4770
Gosu,151,1358,639085,3520,906,6651
Scilab,97,722,16527836,873,456,991
eC,8,49,342266,37,85,65
Fantom,28,103,327100,52,0,192
Bluespec,5,662,8986437,728,1452,1329
Oxygene,45,366,18416737,5593,652,13139
Ecl,6,170,1085880,1258,606,1657
Delphi,126,327,4651758,2501,960,6295
Nu,37,96,202864,145,4,906
Self,10,262,20206468,3634,2332,30135
Logtalk,8,386,5645412,466,1444,8478
Io,72,1569,193454695,75591,82411,680689
Brightscript,25,1425,18630574,8618,25042,24875
UnrealScript,94,1526,93397737,423,548,386
Clean,14,242,12487462,658,2,5280
CLIPS,40,321,163712,139,21,274
Forth,21,118,526170,99,145,173
Boo,47,406,913941,264,571,923
Mirah,28,227,8172267,8908,8801,102802
REALbasic,19,616,5179692,1649,436,2287
Volt,5,72,148686,6,0,139
PogoScript,23,142,297632,371,129,1138
Omgrofl,4,25,976,6,0,12
Glyph,16,121,30161523,88,0,168
Ioke,13,47,19396,27,3,97
RobotFramework,6,122,1371902,93,603,97
Opa,17,35,1512426,95,30,436
J,21,143,135800,43,0,81
wisp,7,187,110159,80,749,138
ABAP,14,214,144437,241,2,460
Rouge,6,27,6593932,16,2,44
Fancy,14,51,215578,247,42,3245
TXL,2,7,4412,4,0,9
