"min_date","max_date","sum_total","sum_VimL","sum_Objective-C","sum_Java","sum_JavaScript","sum_C","sum_Pascal","sum_C#","sum_CSS","sum_Python","sum_PHP","sum_OCaml","sum_R","sum_Ruby","sum_Go","sum_Scala","sum_C++","sum_Elixir","sum_Shell","sum_Puppet","sum_Haskell","sum_Clojure","sum_Perl","sum_CoffeeScript","sum_Matlab","sum_Apex","sum_D","sum_XSLT","sum_Groovy","sum_Kotlin","sum_Julia","sum_Dart","sum_TeX","sum_Arduino","sum_Swift","sum_Emacs Lisp","sum_VHDL","sum_TypeScript","sum_Rust","sum_nesC","sum_Erlang","sum_Processing","sum_Haxe","sum_Lua","sum_PowerShell","sum_Racket","sum_Common Lisp","sum_Dylan","sum_ASP","sum_IDL","sum_Verilog","sum_FORTRAN","sum_AutoIt","sum_Perl6","sum_VCL","sum_DM","sum_Assembly","sum_Cuda","sum_LiveScript","sum_F#","sum_Logos","sum_Max","sum_SQL","sum_Scheme","sum_Objective-J","sum_ActionScript","sum_Game Maker Language","sum_XQuery","sum_Stata","sum_M","sum_Agda","sum_Eiffel","sum_Nimrod","sum_BlitzBasic","sum_Visual Basic","sum_Objective-C++","sum_Xtend","sum_Tcl","sum_XML","sum_Mathematica","sum_Nemerle","sum_OpenEdge ABL","sum_Elm","sum_Augeas","sum_Smalltalk","sum_Standard ML","sum_Vala","sum_Coq","sum_SuperCollider","sum_DOT","sum_AppleScript","sum_xBase","sum_Fantom","sum_Gnuplot","sum_Red","sum_HaXe","sum_Bluespec","sum_Mercury","sum_SAS","sum_Ceylon","sum_Slash","sum_XC","sum_ColdFusion","sum_Prolog","sum_NetLogo","sum_Rebol","sum_AutoHotkey","sum_AspectJ","sum_Forth","sum_MoonScript","sum_Arc","sum_Oxygene","sum_Propeller Spin","sum_Lasso","sum_ABAP","sum_Pure Data","sum_Ada","sum_Awk","sum_Zephir","sum_Inform 7","sum_PAWN","sum_Frege","sum_Gosu","sum_SystemVerilog","sum_Alloy","sum_Parrot","sum_ATS","sum_GAP","sum_Squirrel","sum_Delphi","sum_UnrealScript","sum_Pan","sum_J","sum_Factor","sum_GAMS","sum_Idris","sum_PureScript","sum_Brightscript","sum_SourcePawn","sum_Crystal","sum_Ragel in Ruby Host","sum_KRL","sum_ANTLR","sum_COBOL","sum_Scilab","sum_Glyph","sum_Pike","sum_Component Pascal","sum_ooc","sum_REALbasic","sum_Clean","sum_Io","sum_wisp","sum_Logtalk","sum_eC","sum_Bro","sum_FLUX","sum_Nu","sum_Volt","sum_RobotFramework","sum_Ecl","sum_Monkey","sum_Boo","sum_Cirru","sum_CLIPS","sum_DCPU-16 ASM","sum_Dogescript","sum_E","sum_Fancy","sum_Grammatical Framework","sum_Harbour","sum_Hy","sum_Ioke","sum_JSONiq","sum_Omgrofl","sum_Opa","sum_PogoScript","sum_Rouge","sum_Self","sum_Shen","sum_Turing","sum_TXL","sum_XProc","sum_Mirah","sum_Ox","sum_Moocode","sum_Nix","sum_Isabelle","sum_Xojo","sum_BlitzMax","sum_Grace","sum_Nit","sum_null","sum_Zimpl"
"2014-08-06T00:00:00.000Z","2014-08-06T23:00:00.000Z",415545,2364,8831,40478,77880,15485,176,9196,27289,39960,30233,432,2419,29522,5727,3725,19561,309,9407,848,1326,1278,2900,3172,674,56,296,394,838,46,545,445,1702,383,1511,1325,41,965,1475,34,673,143,214,1619,469,85,149,0,149,73,54,232,15,12,23,256,459,39,205,264,32,13,101,309,19,343,36,36,24,17,3,33,56,80,266,76,41,97,1,40,2,32,15,1,28,26,101,66,2,56,33,48,0,72,2,4,23,51,7,20,9,14,85,113,4,2,46,1,0,5,4,2,16,2,1,31,14,8,0,16,26,4,68,3,0,0,5,63,10,1,0,1,0,9,25,15,48,6,29,21,2,40,3,0,0,1,8,37,4,2,0,7,1,11,0,0,2,3,0,0,0,0,0,0,2,0,3,0,0,1,0,10,0,30,0,0,0,0,0,0,0,0,1,2,0,0,118,2,1,15,0,0,63939,0
"2014-08-05T00:00:00.000Z","2014-08-05T23:00:00.000Z",415815,2327,9126,40760,77778,14943,181,15212,27498,40569,28444,455,2125,28537,5880,3445,19148,297,9271,849,1405,1218,2749,3432,695,147,294,424,860,42,448,561,1456,389,1721,1280,56,838,1088,59,691,264,163,1749,365,63,214,0,166,77,45,245,14,25,15,304,447,80,210,258,78,55,91,275,21,469,51,19,37,19,16,12,78,79,246,80,35,152,14,46,9,45,13,1,52,18,138,48,8,28,15,11,1,29,2,3,17,18,25,12,5,11,122,60,9,0,67,0,0,8,2,0,14,19,0,40,17,2,2,2,4,9,55,6,0,1,7,21,12,3,7,0,0,41,5,4,59,3,28,2,0,20,5,6,2,2,3,8,1,2,0,13,0,1,0,5,5,0,1,0,1,0,0,0,3,0,1,0,0,0,0,7,0,9,0,0,0,0,0,0,0,0,0,1,0,0,94,7,0,2,0,7,61194,0
"2014-08-04T00:00:00.000Z","2014-08-04T23:00:00.000Z",402799,2295,8823,39514,73235,16245,190,15409,26897,38001,27135,344,2120,28117,5449,3406,18488,371,9070,730,1432,1322,2277,3172,529,81,275,467,913,29,474,358,1465,436,1327,1420,96,1040,1400,53,564,264,242,1551,335,70,228,0,131,139,62,176,16,25,15,393,330,91,148,137,73,36,86,194,29,397,76,13,27,18,11,20,28,117,215,81,35,94,1,52,10,55,6,3,11,49,95,32,1,31,29,27,2,90,8,3,18,10,34,20,4,6,118,39,14,5,58,0,0,1,0,2,6,7,0,37,26,2,0,18,12,3,62,7,0,4,17,32,18,2,12,0,0,2,0,9,29,0,28,10,0,37,6,10,0,2,4,8,3,6,0,5,2,4,0,4,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,11,0,13,0,0,3,0,0,0,1,0,1,1,0,0,173,6,0,11,0,0,60428,0
"2014-08-03T00:00:00.000Z","2014-08-03T23:00:00.000Z",270651,2113,5972,27246,48095,12690,144,6860,20563,24849,18411,184,1147,16233,3194,2331,12952,317,6924,332,1358,853,1711,1875,346,24,289,268,687,18,355,227,1067,300,989,977,140,691,1172,60,290,204,196,1564,245,50,173,1,98,62,72,62,5,24,0,369,309,52,152,144,34,3,33,166,17,183,35,23,3,5,2,6,35,31,164,72,21,68,4,37,2,40,2,0,7,28,72,33,3,10,18,1,0,14,28,0,3,11,3,15,3,15,68,37,13,0,39,0,0,4,0,2,15,5,1,19,7,11,8,2,5,5,28,6,3,1,2,13,6,2,0,0,1,4,3,1,46,4,59,5,1,5,8,6,0,0,3,9,0,2,0,2,2,0,0,0,0,4,0,0,0,3,1,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,17,0,0,133,3,0,3,0,0,40729,0
"2014-08-02T00:00:00.000Z","2014-08-02T23:00:00.000Z",239489,1748,4628,21532,39895,10457,127,5727,16743,21777,14222,120,954,15155,2897,1960,11297,252,5400,168,1302,855,1640,1843,278,15,233,161,392,33,397,221,933,274,832,863,36,547,865,16,275,90,168,1417,171,62,104,0,112,48,68,66,4,16,3,270,189,22,134,136,38,29,32,170,19,221,12,28,5,4,6,5,45,16,168,89,15,51,1,31,3,35,6,0,9,23,64,28,2,5,31,1,0,18,23,1,5,7,0,18,7,5,29,25,0,2,44,4,0,1,2,0,4,2,0,11,14,6,0,36,10,0,38,3,0,1,8,22,14,3,1,4,4,2,0,1,24,3,37,15,0,19,0,2,2,0,6,5,0,1,0,1,0,5,0,0,1,6,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,70,7,0,2,0,0,47555,0
"2014-08-01T00:00:00.000Z","2014-08-01T23:00:00.000Z",358644,2076,7029,32536,62192,13298,151,8060,22505,33590,22798,500,1614,24342,4960,3197,16421,346,8154,697,1331,1135,2454,2354,498,97,375,327,979,51,441,493,1351,281,1305,974,38,840,1106,62,440,168,134,1419,262,117,183,8,128,126,53,178,8,27,13,304,288,78,203,235,31,10,70,153,18,326,56,39,32,22,5,19,13,29,145,191,19,70,4,36,2,37,4,1,30,35,86,43,5,19,36,20,0,40,20,3,23,28,20,14,4,3,128,60,7,1,43,4,0,2,4,0,19,3,2,17,7,3,0,20,26,1,32,3,0,5,5,13,4,0,23,0,0,2,2,2,7,4,95,1,0,11,8,10,0,1,9,6,0,1,0,4,1,2,0,1,10,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,0,77,0,0,0,0,0,0,0,0,1,0,0,0,73,6,1,14,0,0,70763,0
"2014-07-31T00:00:00.000Z","2014-07-31T23:00:00.000Z",402312,2385,8429,39535,75337,16129,155,9216,25801,37532,27720,434,1691,29939,5379,3543,19197,249,9411,721,1525,1056,2757,3344,632,93,587,535,966,17,248,618,1553,425,1555,972,34,987,1213,90,600,130,126,1436,414,97,159,3,177,91,37,297,8,13,3,340,404,80,162,282,68,22,131,254,25,351,57,53,19,28,9,25,45,40,214,107,51,81,2,57,9,60,6,7,45,50,152,29,5,16,16,12,0,46,3,2,22,18,12,16,4,5,126,67,3,4,37,0,1,5,2,2,6,9,4,33,24,6,0,18,7,2,53,4,10,7,4,11,1,4,24,0,1,3,1,3,16,4,64,7,4,29,1,7,0,2,11,4,0,10,1,2,0,2,0,2,6,1,0,0,3,0,3,0,0,0,2,0,0,0,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,130,28,0,10,0,0,62420,0
"2014-07-30T00:00:00.000Z","2014-07-30T23:00:00.000Z",435743,2679,8896,40283,79942,15297,124,9794,27727,39084,29203,396,1824,30438,6241,3919,19233,287,9481,960,1517,942,2572,3311,605,111,477,631,1183,41,463,544,1682,466,1016,1071,46,1131,1245,108,569,115,224,1325,397,116,193,4,161,90,93,225,5,24,19,330,589,77,88,237,87,23,98,264,56,508,53,37,18,12,6,44,15,46,212,108,66,69,4,56,18,71,8,2,78,32,156,54,3,27,19,6,0,23,5,9,22,19,65,37,3,2,175,57,13,13,61,0,3,7,2,0,17,5,3,13,65,42,0,0,46,2,92,2,0,6,4,8,6,5,18,3,1,4,2,7,19,10,51,19,0,42,5,2,2,3,4,13,0,0,0,4,0,5,0,1,1,3,0,0,6,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,128,14,20,30,0,0,82376,0
"2014-07-29T00:00:00.000Z","2014-07-29T23:00:00.000Z",428220,2562,8460,40323,77177,17666,159,9596,26589,39480,28233,429,1623,29813,6105,3397,19405,244,9362,843,1406,1039,3146,3165,744,127,537,516,994,40,583,507,1877,332,972,1156,82,1215,1715,108,609,165,191,1266,356,103,153,2,116,124,60,227,7,22,4,379,431,122,117,303,22,33,124,199,44,554,67,3,8,21,7,31,26,34,243,94,36,67,5,48,14,67,10,4,66,32,91,47,7,30,20,29,0,30,5,3,27,27,36,40,5,6,128,94,20,5,45,0,4,12,3,0,4,1,1,9,19,3,1,2,36,14,75,10,0,11,0,15,10,3,7,0,0,2,2,21,49,9,53,30,0,15,4,3,14,1,4,19,5,1,0,10,1,7,0,4,3,3,0,0,8,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,3,0,0,14,0,0,131,35,3,7,0,0,78474,0
"2014-07-28T00:00:00.000Z","2014-07-28T23:00:00.000Z",403566,2334,8544,38825,75062,17487,140,8775,26181,38840,27803,442,2186,29371,6876,3404,19125,243,10081,733,1399,1208,2598,3191,721,142,407,431,857,30,589,482,1734,383,1110,1288,63,1202,1212,70,507,143,168,1667,472,120,233,1,115,143,85,180,25,23,29,424,456,85,102,291,62,28,68,292,46,506,49,24,12,16,7,49,42,71,233,134,25,92,2,53,16,79,12,1,30,40,129,58,2,8,18,33,0,74,13,5,21,18,33,5,2,0,119,56,13,2,51,0,3,15,0,1,29,2,0,24,9,17,0,5,14,0,63,1,1,6,3,23,15,7,4,2,3,2,0,9,31,4,45,11,1,38,12,2,3,0,11,5,22,0,1,21,2,2,0,1,1,2,2,0,0,5,11,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,0,2,2,0,114,24,5,4,0,0,59424,0
"2014-07-27T00:00:00.000Z","2014-07-27T23:00:00.000Z",281550,2151,5714,25608,48794,12708,147,6544,18860,24041,18063,287,8561,17710,4285,2364,12825,245,6896,320,1337,802,1729,2313,500,21,328,188,729,28,454,161,1213,364,793,905,42,868,686,26,258,99,164,1687,253,53,200,2,152,64,51,217,22,8,12,384,263,40,178,247,44,35,23,198,18,245,35,2,13,1,5,39,37,20,192,117,82,80,15,48,1,67,8,0,16,40,82,25,31,12,16,11,1,12,3,1,1,29,12,5,2,0,69,17,0,2,43,1,14,26,4,0,6,1,0,16,25,8,0,11,9,5,35,5,0,9,4,13,2,0,1,0,2,3,1,8,49,4,32,6,0,0,9,30,8,0,3,1,2,0,0,7,1,2,0,0,11,1,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,110,0,0,2,0,0,45334,0
