repository_language,type,active_repos_by_url,events,year,quarter
VimL,ForkEvent,2015,6699,2014,4
Dart,PushEvent,1636,14840,2014,4
Objective-C++,PushEvent,559,3896,2014,4
Standard ML,PushEvent,327,3370,2014,4
Pascal,IssuesEvent,98,455,2014,4
Lua,ForkEvent,1960,5127,2014,4
JavaScript,CreateEvent,756,774,2014,4
R,IssuesEvent,1226,6072,2014,4
Eiffel,PushEvent,84,1537,2014,4
Emacs Lisp,WatchEvent,2290,13301,2014,4
Xtend,PushEvent,107,1473,2014,4
Gnuplot,ForkEvent,9,21,2014,4
Groovy,ForkEvent,1096,2573,2014,4
Stata,ForkEvent,23,470,2014,4
Emacs Lisp,ForkEvent,1056,2928,2014,4
PowerShell,WatchEvent,602,3166,2014,4
D,PushEvent,1749,15654,2014,4
Prolog,PushEvent,1160,8852,2014,4
Bison,WatchEvent,14,3021,2014,4
TypeScript,PushEvent,2256,34619,2014,4
VimL,IssuesEvent,883,3408,2014,4
Smalltalk,PushEvent,191,1971,2014,4
Makefile,WatchEvent,375,1136,2014,4
Coq,PushEvent,233,3130,2014,4
Rust,ForkEvent,784,3279,2014,4
Common Lisp,IssuesEvent,192,698,2014,4
Perl,IssuesEvent,1563,5948,2014,4
Arc,WatchEvent,15,77,2014,4
Agda,PushEvent,113,946,2014,4
Ada,PushEvent,135,1255,2014,4
Haxe,IssuesEvent,206,1251,2014,4
VHDL,PushEvent,630,7813,2014,4
Verilog,PushEvent,693,7237,2014,4
Assembly,ForkEvent,359,940,2014,4
SuperCollider,PushEvent,291,1089,2014,4
AGS Script,WatchEvent,78,904,2014,4
OCaml,WatchEvent,796,6164,2014,4
Awk,PushEvent,138,805,2014,4
Game Maker Language,PushEvent,232,2850,2014,4
Groovy,WatchEvent,1259,5251,2014,4
M,PushEvent,362,1562,2014,4
Arduino,WatchEvent,1188,2758,2014,4
Emacs Lisp,IssuesEvent,702,3336,2014,4
AppleScript,PushEvent,250,1399,2014,4
OpenEdge ABL,PushEvent,263,3837,2014,4
SourcePawn,IssuesEvent,33,391,2014,4
