repository_language,type,active_repos_by_url,events,year,quarter
Java,PushEvent,175968,1815997,2014,3
Objective-C,PushEvent,36471,250289,2014,3
C,WatchEvent,21770,137752,2014,3
Python,WatchEvent,44762,270224,2014,3
Perl,PushEvent,15410,124719,2014,3
JavaScript,PushEvent,294832,3068862,2014,3
Objective-C,ForkEvent,12141,45731,2014,3
Python,PushEvent,142272,1616028,2014,3
Objective-C,WatchEvent,17249,199329,2014,3
AppleScript,PushEvent,249,1059,2014,3
Ruby,PushEvent,132397,1082798,2014,3
CSS,PushEvent,151499,1606357,2014,3
Ruby,WatchEvent,31035,195826,2014,3
Shell,PushEvent,64455,502489,2014,3
C++,PushEvent,72529,844532,2014,3
Go,WatchEvent,8577,115609,2014,3
JavaScript,WatchEvent,81585,823688,2014,3
PHP,PushEvent,131741,1206753,2014,3
Java,IssuesEvent,14222,94828,2014,3
TypeScript,PushEvent,2297,32551,2014,3
Java,ForkEvent,37687,143901,2014,3
Scala,PushEvent,9457,106658,2014,3
CSS,WatchEvent,17077,158362,2014,3
PHP,ForkEvent,26284,75172,2014,3
C,ForkEvent,18685,59314,2014,3
VimL,PushEvent,21724,125918,2014,3
Scala,WatchEvent,3517,24634,2014,3
Go,IssuesEvent,2188,12327,2014,3
Lua,PushEvent,7118,80124,2014,3
Lua,WatchEvent,2689,8627,2014,3
Haskell,PushEvent,7385,66490,2014,3
Java,WatchEvent,40822,251797,2014,3
R,ForkEvent,2608,19420,2014,3
Python,ForkEvent,32420,95925,2014,3
JavaScript,IssuesEvent,33852,206683,2014,3
Shell,WatchEvent,13897,76567,2014,3
CSS,ForkEvent,14403,72150,2014,3
Ruby,IssuesEvent,10857,57694,2014,3
Shell,ForkEvent,10981,29393,2014,3
C,PushEvent,64597,660729,2014,3
C#,PushEvent,46052,424603,2014,3
Matlab,PushEvent,4539,38276,2014,3
C#,ForkEvent,9960,27330,2014,3
Erlang,PushEvent,2914,22298,2014,3
JavaScript,ForkEvent,62070,237564,2014,3
Python,IssuesEvent,15540,105575,2014,3
Emacs Lisp,PushEvent,7499,60038,2014,3
Rust,PushEvent,2554,34631,2014,3
Swift,PushEvent,7343,40646,2014,3
Clojure,WatchEvent,3055,20295,2014,3
Squirrel,PushEvent,71,525,2014,3
CoffeeScript,ForkEvent,2914,9900,2014,3
PHP,WatchEvent,33463,163271,2014,3
Elixir,PushEvent,1128,9740,2014,3
Go,PushEvent,18355,170251,2014,3
Lua,ForkEvent,2000,5062,2014,3
C++,WatchEvent,17833,100419,2014,3
PHP,IssuesEvent,15727,81915,2014,3
Visual Basic,PushEvent,2428,13880,2014,3
Perl,WatchEvent,3695,12274,2014,3
CoffeeScript,PushEvent,12800,108127,2014,3
PAWN,IssuesEvent,8,89,2014,3
Common Lisp,PushEvent,1280,10675,2014,3
TeX,PushEvent,10007,110602,2014,3
Swift,WatchEvent,1751,37973,2014,3
CoffeeScript,WatchEvent,4824,42452,2014,3
Clojure,PushEvent,6205,46583,2014,3
R,PushEvent,36343,162725,2014,3
Common Lisp,WatchEvent,778,2690,2014,3
Cuda,IssuesEvent,23,82,2014,3
C++,IssuesEvent,5708,44344,2014,3
PowerShell,WatchEvent,504,2455,2014,3
Groovy,PushEvent,6011,41600,2014,3
C,IssuesEvent,5162,31112,2014,3
OCaml,PushEvent,1361,15773,2014,3
Puppet,PushEvent,4977,37101,2014,3
ColdFusion,IssuesEvent,70,374,2014,3
XSLT,PushEvent,2023,18563,2014,3
VimL,WatchEvent,3655,28692,2014,3
VimL,ForkEvent,2048,6454,2014,3
Scheme,PushEvent,1639,12729,2014,3
VCL,IssuesEvent,3,5,2014,3
Ruby,ForkEvent,24540,73049,2014,3
Perl6,PushEvent,82,1581,2014,3
C++,ForkEvent,16164,49224,2014,3
Dart,ForkEvent,354,910,2014,3
ActionScript,PushEvent,1950,16461,2014,3
R,WatchEvent,2154,7730,2014,3
C#,WatchEvent,12263,48995,2014,3
Perl,IssuesEvent,1616,6272,2014,3
LiveScript,PushEvent,219,8134,2014,3
Erlang,ForkEvent,1011,2291,2014,3
Haskell,WatchEvent,2571,12441,2014,3
Matlab,WatchEvent,789,1849,2014,3
Julia,IssuesEvent,360,2105,2014,3
DM,PushEvent,346,7891,2014,3
Dart,PushEvent,1802,18721,2014,3
Go,ForkEvent,4500,17350,2014,3
CSS,IssuesEvent,8378,44481,2014,3
Verilog,PushEvent,473,4245,2014,3
Groovy,WatchEvent,1245,4815,2014,3
Haxe,WatchEvent,517,2530,2014,3
D,PushEvent,1631,14039,2014,3
Shell,IssuesEvent,3833,17459,2014,3
Racket,ForkEvent,95,204,2014,3
Objective-C++,WatchEvent,145,2128,2014,3
Swift,ForkEvent,920,4619,2014,3
VHDL,PushEvent,387,3428,2014,3
Scala,IssuesEvent,1150,7643,2014,3
Rust,IssuesEvent,300,3757,2014,3
Prolog,PushEvent,374,4166,2014,3
Rust,ForkEvent,462,1841,2014,3
Emacs Lisp,IssuesEvent,573,2558,2014,3
