repository_language,type,active_repos_by_url,events,year,quarter
PHP,PushEvent,84990,792936,2013,3
Java,PushEvent,110698,1086477,2013,3
JavaScript,PushEvent,199989,1948938,2013,3
CoffeeScript,PushEvent,7451,66374,2013,3
Python,PushEvent,94781,910485,2013,3
C++,PushEvent,44172,549233,2013,3
Objective-C,WatchEvent,13338,132544,2013,3
PHP,WatchEvent,24011,115964,2013,3
Python,WatchEvent,31989,172526,2013,3
Matlab,PushEvent,2338,24689,2013,3
Shell,PushEvent,35510,325254,2013,3
R,PushEvent,3768,34789,2013,3
VimL,PushEvent,17548,104910,2013,3
Delphi,WatchEvent,197,509,2013,3
JavaScript,IssuesEvent,21286,162207,2013,3
PHP,IssuesEvent,8702,60883,2013,3
C#,WatchEvent,7296,25880,2013,3
C++,WatchEvent,12228,55352,2013,3
JavaScript,WatchEvent,60012,570130,2013,3
Clojure,WatchEvent,2095,14926,2013,3
Ruby,PushEvent,117419,910860,2013,3
Python,IssuesEvent,10308,61941,2013,3
Ruby,WatchEvent,27001,177891,2013,3
C,WatchEvent,16217,89098,2013,3
Perl,WatchEvent,3421,11875,2013,3
Prolog,PushEvent,641,5242,2013,3
Go,PushEvent,8314,64871,2013,3
Common Lisp,ForkEvent,256,473,2013,3
VimL,WatchEvent,3057,25576,2013,3
Scala,PushEvent,6944,67030,2013,3
ActionScript,WatchEvent,1186,4215,2013,3
Emacs Lisp,WatchEvent,1458,7769,2013,3
CoffeeScript,IssuesEvent,1167,6181,2013,3
C,PushEvent,45784,462704,2013,3
Groovy,PushEvent,2501,19924,2013,3
Ruby,ForkEvent,22764,76074,2013,3
JavaScript,ForkEvent,42677,208440,2013,3
Python,ForkEvent,21587,70676,2013,3
Clojure,PushEvent,3941,33955,2013,3
Objective-C,PushEvent,23816,154815,2013,3
Julia,PushEvent,540,5620,2013,3
PHP,ForkEvent,18968,63550,2013,3
C#,PushEvent,25300,202118,2013,3
Haskell,PushEvent,5091,45485,2013,3
TypeScript,PushEvent,1320,15179,2013,3
C++,ForkEvent,10303,33294,2013,3
CoffeeScript,WatchEvent,3172,27792,2013,3
Perl,PushEvent,13883,101175,2013,3
VimL,ForkEvent,1884,7007,2013,3
PowerShell,PushEvent,1003,6730,2013,3
Logos,IssuesEvent,45,192,2013,3
Java,WatchEvent,26228,113344,2013,3
Dylan,PushEvent,38,440,2013,3
Java,IssuesEvent,8906,73006,2013,3
Tcl,PushEvent,316,2232,2013,3
Java,ForkEvent,25996,93188,2013,3
Awk,WatchEvent,22,56,2013,3
C,ForkEvent,14949,52760,2013,3
D,PushEvent,1170,10523,2013,3
AutoHotkey,PushEvent,247,2138,2013,3
C,IssuesEvent,3413,22365,2013,3
Lua,PushEvent,4349,39929,2013,3
XSLT,PushEvent,1316,10713,2013,3
F#,PushEvent,501,3724,2013,3
XQuery,PushEvent,79,640,2013,3
Elixir,PushEvent,631,5235,2013,3
Emacs Lisp,PushEvent,6231,44395,2013,3
Arduino,PushEvent,2123,10214,2013,3
Dart,PushEvent,953,6824,2013,3
Ruby,IssuesEvent,9988,47817,2013,3
Rust,PushEvent,700,10813,2013,3
Shell,IssuesEvent,1883,9218,2013,3
Erlang,IssuesEvent,227,800,2013,3
