repository_language,type,active_repos_by_url,events,year,quarter
JavaScript,PushEvent,198558,1983401,2013,2
JavaScript,ForkEvent,40899,178222,2013,2
Java,IssuesEvent,8421,89983,2013,2
Java,PushEvent,107859,1214746,2013,2
Java,WatchEvent,26426,114581,2013,2
C#,PushEvent,24875,221462,2013,2
JavaScript,IssuesEvent,20090,140970,2013,2
Python,PushEvent,88318,858112,2013,2
C,PushEvent,45136,492198,2013,2
Common Lisp,PushEvent,1202,9144,2013,2
VimL,PushEvent,15940,100213,2013,2
PHP,WatchEvent,23540,108231,2013,2
Ruby,WatchEvent,29232,183075,2013,2
Standard ML,PushEvent,132,18608,2013,2
Objective-C,WatchEvent,12686,132392,2013,2
C++,WatchEvent,11641,53454,2013,2
Shell,PushEvent,33012,298165,2013,2
Python,IssuesEvent,9800,58167,2013,2
JavaScript,WatchEvent,61765,558901,2013,2
Ruby,PushEvent,116508,922505,2013,2
Puppet,PushEvent,3581,23893,2013,2
Objective-C,PushEvent,23234,155143,2013,2
Groovy,PushEvent,2919,22559,2013,2
PHP,PushEvent,83169,810420,2013,2
C,WatchEvent,14401,68246,2013,2
PHP,ForkEvent,18614,58438,2013,2
Python,WatchEvent,32930,161347,2013,2
Emacs Lisp,PushEvent,6258,45547,2013,2
C++,PushEvent,40206,576423,2013,2
Java,ForkEvent,24828,78369,2013,2
Perl,PushEvent,12751,103919,2013,2
CoffeeScript,WatchEvent,2980,28455,2013,2
VimL,ForkEvent,1822,5656,2013,2
Haskell,PushEvent,5004,40852,2013,2
Shell,WatchEvent,7269,36180,2013,2
ASP,PushEvent,748,8829,2013,2
C++,ForkEvent,9108,26343,2013,2
Go,PushEvent,6187,52012,2013,2
SuperCollider,PushEvent,146,1441,2013,2
Erlang,PushEvent,2544,20490,2013,2
Clojure,ForkEvent,1013,2476,2013,2
Scheme,PushEvent,851,7868,2013,2
Logos,PushEvent,1178,15132,2013,2
C#,WatchEvent,6722,23308,2013,2
TypeScript,IssuesEvent,75,1026,2013,2
C++,IssuesEvent,3254,28959,2013,2
Scala,PushEvent,6460,62424,2013,2
Python,ForkEvent,19309,60562,2013,2
R,PushEvent,3227,30785,2013,2
C,IssuesEvent,3394,21073,2013,2
FORTRAN,PushEvent,634,6612,2013,2
VimL,WatchEvent,2847,21826,2013,2
C#,IssuesEvent,2361,17065,2013,2
Objective-C,ForkEvent,8111,32017,2013,2
Ruby,ForkEvent,23181,72674,2013,2
PHP,IssuesEvent,8751,59107,2013,2
ActionScript,WatchEvent,1195,4246,2013,2
TypeScript,WatchEvent,225,2126,2013,2
Perl,WatchEvent,3533,10737,2013,2
Go,WatchEvent,3011,25310,2013,2
CoffeeScript,PushEvent,7366,65023,2013,2
Scala,WatchEvent,2344,15219,2013,2
C,ForkEvent,13022,37947,2013,2
OCaml,PushEvent,1002,11565,2013,2
CoffeeScript,ForkEvent,1563,5820,2013,2
Ruby,IssuesEvent,8427,47342,2013,2
PowerShell,WatchEvent,203,795,2013,2
Coq,PushEvent,119,2509,2013,2
Objective-C,IssuesEvent,2381,11100,2013,2
Shell,IssuesEvent,1797,10457,2013,2
Emacs Lisp,WatchEvent,1535,6451,2013,2
Visual Basic,PushEvent,1077,7316,2013,2
ActionScript,PushEvent,2192,18715,2013,2
TypeScript,PushEvent,1105,12877,2013,2
Lua,WatchEvent,1472,4482,2013,2
VHDL,WatchEvent,60,208,2013,2
Clojure,WatchEvent,2054,13388,2013,2
FORTRAN,WatchEvent,117,270,2013,2
Go,IssuesEvent,633,3612,2013,2
Go,ForkEvent,1388,4692,2013,2
Dart,PushEvent,947,9184,2013,2
Rust,WatchEvent,191,1663,2013,2
Processing,PushEvent,1126,7982,2013,2
ActionScript,ForkEvent,756,2077,2013,2
Lua,PushEvent,4198,39779,2013,2
OpenEdge ABL,ForkEvent,24,51,2013,2
Common Lisp,ForkEvent,272,552,2013,2
Dylan,PushEvent,28,212,2013,2
Verilog,WatchEvent,131,329,2013,2
Julia,PushEvent,570,6537,2013,2
ActionScript,IssuesEvent,214,1561,2013,2
F#,ForkEvent,82,232,2013,2
Awk,WatchEvent,14,76,2013,2
Clojure,PushEvent,4248,35846,2013,2
VHDL,PushEvent,318,3756,2013,2
Groovy,WatchEvent,668,1650,2013,2
Shell,ForkEvent,6072,16629,2013,2
Erlang,WatchEvent,1319,5628,2013,2
F#,PushEvent,464,4372,2013,2
C#,ForkEvent,5160,14053,2013,2
