repository_language,type,active_repos_by_url,events,year,quarter
JavaScript,WatchEvent,53526,495716,2013,1
Ruby,PushEvent,101197,762165,2013,1
JavaScript,PushEvent,153375,1538493,2013,1
PHP,PushEvent,70845,688683,2013,1
Java,PushEvent,92279,938284,2013,1
Objective-C,WatchEvent,12686,131199,2013,1
Scala,PushEvent,5636,53165,2013,1
C#,PushEvent,18728,154026,2013,1
C++,PushEvent,33472,428447,2013,1
C,PushEvent,36608,422350,2013,1
Haskell,PushEvent,4338,37364,2013,1
Python,PushEvent,70498,677219,2013,1
Clojure,PushEvent,3669,26671,2013,1
Python,IssuesEvent,8294,51385,2013,1
Java,ForkEvent,20401,65114,2013,1
Ruby,IssuesEvent,8170,44506,2013,1
Lua,PushEvent,3627,35130,2013,1
R,PushEvent,2241,22206,2013,1
VimL,PushEvent,15381,91265,2013,1
Objective-C,PushEvent,20780,169241,2013,1
C#,ForkEvent,4625,13171,2013,1
Perl,PushEvent,12259,91101,2013,1
Matlab,PushEvent,1391,22810,2013,1
Gosu,PushEvent,54,295,2013,1
Python,WatchEvent,26657,138726,2013,1
VimL,WatchEvent,2726,20078,2013,1
PHP,IssuesEvent,7506,59896,2013,1
Java,WatchEvent,21059,94441,2013,1
Shell,PushEvent,27054,239460,2013,1
C++,WatchEvent,9869,42543,2013,1
Ruby,WatchEvent,26483,174028,2013,1
JavaScript,ForkEvent,34780,158146,2013,1
Haskell,IssuesEvent,447,2106,2013,1
ColdFusion,PushEvent,354,3519,2013,1
Java,IssuesEvent,7132,82453,2013,1
C,ForkEvent,10577,34355,2013,1
Smalltalk,PushEvent,120,1769,2013,1
Puppet,PushEvent,2764,17007,2013,1
JavaScript,IssuesEvent,16558,123092,2013,1
Shell,WatchEvent,6751,32357,2013,1
Go,PushEvent,3858,31180,2013,1
Haskell,WatchEvent,1439,4974,2013,1
PHP,WatchEvent,21888,98262,2013,1
Python,ForkEvent,17979,53452,2013,1
Emacs Lisp,ForkEvent,969,2376,2013,1
OCaml,PushEvent,837,9676,2013,1
CoffeeScript,PushEvent,5965,51681,2013,1
Ruby,ForkEvent,19873,70168,2013,1
Go,WatchEvent,2188,14835,2013,1
CoffeeScript,ForkEvent,1352,5217,2013,1
Rust,IssuesEvent,16,723,2013,1
Go,IssuesEvent,447,2081,2013,1
Scilab,PushEvent,43,504,2013,1
Rebol,PushEvent,18,187,2013,1
C++,ForkEvent,7221,22645,2013,1
C,WatchEvent,13285,61372,2013,1
Emacs Lisp,WatchEvent,1403,6477,2013,1
Puppet,WatchEvent,730,1825,2013,1
C#,IssuesEvent,1887,19240,2013,1
Shell,IssuesEvent,1446,7908,2013,1
F#,PushEvent,353,3016,2013,1
Scala,WatchEvent,1924,11726,2013,1
Scheme,PushEvent,627,5831,2013,1
Racket,PushEvent,588,5791,2013,1
ooc,PushEvent,35,683,2013,1
DCPU-16 ASM,IssuesEvent,6,44,2013,1
Emacs Lisp,PushEvent,6069,42768,2013,1
Erlang,PushEvent,2436,18925,2013,1
Factor,PushEvent,20,1015,2013,1
Perl,ForkEvent,2350,5406,2013,1
C++,IssuesEvent,2856,27856,2013,1
ActionScript,IssuesEvent,222,2079,2013,1
Visual Basic,PushEvent,808,5449,2013,1
Groovy,PushEvent,2340,20045,2013,1
Shell,ForkEvent,5190,15062,2013,1
C#,WatchEvent,6208,21550,2013,1
Rust,WatchEvent,90,887,2013,1
Dart,IssuesEvent,77,606,2013,1
CoffeeScript,WatchEvent,2526,24958,2013,1
SuperCollider,PushEvent,61,381,2013,1
Prolog,PushEvent,474,3822,2013,1
Dart,PushEvent,668,6833,2013,1
Clojure,WatchEvent,1899,12159,2013,1
Objective-C,IssuesEvent,2143,11111,2013,1
Julia,IssuesEvent,83,1033,2013,1
Julia,WatchEvent,103,519,2013,1
ActionScript,PushEvent,1974,16389,2013,1
Assembly,IssuesEvent,41,376,2013,1
Puppet,ForkEvent,825,2197,2013,1
Objective-C,ForkEvent,7162,31086,2013,1
PHP,ForkEvent,16814,54122,2013,1
Common Lisp,PushEvent,1044,7247,2013,1
ASP,PushEvent,511,4965,2013,1
R,WatchEvent,585,2105,2013,1
VimL,ForkEvent,1689,5724,2013,1
D,PushEvent,924,8658,2013,1
ActionScript,ForkEvent,792,2310,2013,1
OpenEdge ABL,WatchEvent,23,227,2013,1
Elixir,PushEvent,126,1444,2013,1
Perl,IssuesEvent,1116,4661,2013,1
C,IssuesEvent,3012,21602,2013,1
VHDL,PushEvent,192,2427,2013,1
Perl,WatchEvent,3229,10322,2013,1
Standard ML,WatchEvent,49,120,2013,1
Julia,PushEvent,410,4818,2013,1
Verilog,PushEvent,254,2965,2013,1
Go,ForkEvent,1092,3133,2013,1
Rust,PushEvent,268,5539,2013,1
HaXe,PushEvent,256,3021,2013,1
ActionScript,WatchEvent,1152,4318,2013,1
Groovy,WatchEvent,631,1648,2013,1
CoffeeScript,IssuesEvent,819,5335,2013,1
Groovy,IssuesEvent,310,1466,2013,1
Scala,ForkEvent,1249,3924,2013,1
OpenEdge ABL,ForkEvent,23,76,2013,1
Assembly,PushEvent,725,5497,2013,1
Matlab,ForkEvent,165,291,2013,1
D,ForkEvent,156,395,2013,1
Scala,IssuesEvent,527,4222,2013,1
FORTRAN,PushEvent,455,4424,2013,1
Clojure,ForkEvent,958,2501,2013,1
Arduino,PushEvent,1362,6897,2013,1
Haskell,ForkEvent,758,1551,2013,1
Gosu,WatchEvent,19,47,2013,1
Lua,IssuesEvent,339,2633,2013,1
Assembly,WatchEvent,223,952,2013,1
XQuery,PushEvent,81,576,2013,1
