repository_language,active_repos,month
XC,30,2014-02
Slash,26,2014-02
Monkey,14,2014-02
Arc,32,2014-02
Nemerle,34,2014-02
Ecl,4,2014-02
Ceylon,13,2014-02
Pike,19,2014-02
REALbasic,15,2014-02
Volt,2,2014-02
XProc,15,2014-02
Prolog,115,2014-02
RobotFramework,2,2014-02
Clean,5,2014-02
CLIPS,9,2014-02
Boo,31,2014-02
Fantom,6,2014-02
Forth,5,2014-02
ANTLR,20,2014-02
Bro,14,2014-02
CSS,43901,2014-01
TeX,3536,2014-01
PHP,53182,2014-01
JavaScript,103415,2014-01
Java,65848,2014-01
Ruby,46133,2014-01
C++,26941,2014-01
Shell,16264,2014-01
Python,54561,2014-01
Logos,266,2014-01
Haskell,2936,2014-01
R,3470,2014-01
C,27470,2014-01
Rust,417,2014-01
CoffeeScript,5169,2014-01
DM,41,2014-01
Scala,3951,2014-01
VimL,3110,2014-01
Objective-C,18517,2014-01
C#,16940,2014-01
Go,5469,2014-01
Puppet,1706,2014-01
Lua,2946,2014-01
Lasso,18,2014-01
OCaml,661,2014-01
Perl,6546,2014-01
Clojure,2940,2014-01
xBase,20,2014-01
ColdFusion,208,2014-01
ActionScript,1489,2014-01
TypeScript,1125,2014-01
Objective-J,40,2014-01
Brightscript,12,2014-01
PowerShell,603,2014-01
Erlang,1486,2014-01
Scheme,603,2014-01
Groovy,1652,2014-01
Dart,686,2014-01
LiveScript,137,2014-01
Julia,330,2014-01
Matlab,1656,2014-01
Emacs Lisp,1947,2014-01
Processing,662,2014-01
Pascal,422,2014-01
Vala,136,2014-01
Tcl,202,2014-01
Elm,45,2014-01
Racket,330,2014-01
AutoHotkey,172,2014-01
XC,32,2014-01
FORTRAN,415,2014-01
Haxe,370,2014-01
Arduino,1555,2014-01
ASP,555,2014-01
Visual Basic,838,2014-01
DOT,115,2014-01
XML,72,2014-01
BlitzBasic,94,2014-01
F#,371,2014-01
Elixir,297,2014-01
AutoIt,57,2014-01
D,675,2014-01
AppleScript,192,2014-01
VHDL,251,2014-01
Common Lisp,764,2014-01
Delphi,55,2014-01
Verilog,236,2014-01
XSLT,659,2014-01
Arc,18,2014-01
nesC,86,2014-01
IDL,238,2014-01
Assembly,630,2014-01
Smalltalk,80,2014-01
Idris,17,2014-01
Coq,80,2014-01
Bluespec,2,2014-01
Ada,69,2014-01
Ceylon,15,2014-01
Max,93,2014-01
Scilab,38,2014-01
M,101,2014-01
OpenEdge ABL,106,2014-01
Xtend,39,2014-01
SuperCollider,39,2014-01
Nemerle,37,2014-01
PogoScript,8,2014-01
Agda,51,2014-01
Standard ML,110,2014-01
Kotlin,34,2014-01
Nimrod,36,2014-01
ooc,21,2014-01
MoonScript,25,2014-01
Mirah,9,2014-01
XQuery,47,2014-01
Eiffel,30,2014-01
Prolog,152,2014-01
Awk,60,2014-01
Pure Data,61,2014-01
Logtalk,2,2014-01
ANTLR,19,2014-01
Ioke,3,2014-01
COBOL,12,2014-01
Pike,5,2014-01
Bro,15,2014-01
Gosu,56,2014-01
Perl6,11,2014-01
REALbasic,8,2014-01
Io,47,2014-01
HaXe,67,2014-01
Turing,4,2014-01
Apex,150,2014-01
UnrealScript,43,2014-01
NetLogo,23,2014-01
Ecl,5,2014-01
XProc,10,2014-01
Ragel in Ruby Host,7,2014-01
Crystal,4,2014-01
Boo,16,2014-01
Factor,8,2014-01
Logtalk,7,2014-03
Dylan,18,2014-03
Scilab,53,2014-03
Glyph,16,2014-03
Rebol,28,2014-03
Arc,12,2014-03
Delphi,45,2014-03
Bro,13,2014-03
RobotFramework,5,2014-03
wisp,7,2014-03
ABAP,7,2014-03
Squirrel,39,2014-01
Dylan,19,2014-01
Monkey,14,2014-01
Fantom,7,2014-01
Slash,30,2014-01
Eiffel,30,2014-02
Rebol,10,2014-02
Oxygene,13,2014-02
Crystal,4,2014-02
Elm,33,2014-02
DCPU-16 ASM,9,2014-02
DCPU-16 ASM,9,2014-01
Oxygene,21,2014-01
CLIPS,11,2014-01
Parrot,2,2014-01
Forth,9,2014-01
ABAP,4,2014-01
Ecl,3,2014-03
Opa,5,2014-03
DCPU-16 ASM,23,2014-03
Augeas,6,2014-02
Glyph,3,2014-02
Augeas,5,2014-01
Opa,7,2014-01
eC,1,2014-01
Clean,6,2014-01
Volt,1,2014-01
Glyph,5,2014-01
ABAP,12,2014-02
Ioke,1,2014-02
Turing,10,2014-02
Self,6,2014-02
ooc,17,2014-02
Opa,9,2014-02
Self,4,2014-01
Forth,20,2014-03
Nu,12,2014-01
Ragel in Ruby Host,7,2014-02
PogoScript,18,2014-02
KRL,3,2014-01
Rouge,1,2014-01
wisp,1,2014-01
Rebol,3,2014-01
RobotFramework,1,2014-01
Volt,5,2014-03
Rouge,6,2014-03
TXL,2,2014-03
Fancy,12,2014-02
