repository_language,type,active_repos_by_url,events,year,quarter
Java,ForkEvent,34101,113883,2014,1
JavaScript,PushEvent,228264,2382868,2014,1
PHP,PushEvent,114713,1110235,2014,1
Scala,PushEvent,8896,83361,2014,1
Java,IssuesEvent,13073,90957,2014,1
Java,WatchEvent,36208,178643,2014,1
Python,PushEvent,130546,1350201,2014,1
CSS,PushEvent,112743,1128323,2014,1
C#,PushEvent,35897,334327,2014,1
Perl,PushEvent,13886,113275,2014,1
Java,PushEvent,158534,1662692,2014,1
Haskell,PushEvent,6572,55099,2014,1
F#,PushEvent,860,8640,2014,1
C++,PushEvent,63094,741587,2014,1
Objective-C,WatchEvent,16672,209715,2014,1
C++,WatchEvent,16312,83264,2014,1
Erlang,PushEvent,2962,23158,2014,1
D,PushEvent,1615,14434,2014,1
Shell,PushEvent,53561,435159,2014,1
Elixir,WatchEvent,295,2030,2014,1
JavaScript,IssuesEvent,28692,178455,2014,1
Objective-C,ForkEvent,11932,43941,2014,1
C++,ForkEvent,13960,41250,2014,1
Objective-C,PushEvent,34804,225964,2014,1
Python,ForkEvent,28879,82622,2014,1
JavaScript,WatchEvent,76505,740318,2014,1
C#,WatchEvent,9633,36106,2014,1
Ruby,PushEvent,132547,1052455,2014,1
PHP,WatchEvent,31532,146567,2014,1
Go,WatchEvent,5866,66418,2014,1
C,WatchEvent,19865,120413,2014,1
CoffeeScript,WatchEvent,4196,41850,2014,1
C#,IssuesEvent,3383,22788,2014,1
Shell,ForkEvent,9553,27218,2014,1
C,PushEvent,62762,659818,2014,1
JavaScript,ForkEvent,54776,224389,2014,1
C,IssuesEvent,4956,31027,2014,1
C#,ForkEvent,7521,21220,2014,1
VimL,PushEvent,19851,118671,2014,1
Python,WatchEvent,40122,221727,2014,1
PHP,IssuesEvent,12497,80879,2014,1
Matlab,PushEvent,3506,32389,2014,1
PHP,ForkEvent,25145,74147,2014,1
Lua,PushEvent,6088,58072,2014,1
Clojure,PushEvent,6183,43776,2014,1
Shell,WatchEvent,11497,58350,2014,1
Arduino,PushEvent,3363,17278,2014,1
Dart,PushEvent,1672,16533,2014,1
Haxe,PushEvent,840,8674,2014,1
Erlang,WatchEvent,1575,7088,2014,1
ASP,PushEvent,1158,11796,2014,1
Ruby,IssuesEvent,10297,52358,2014,1
CSS,WatchEvent,13567,163863,2014,1
LiveScript,PushEvent,303,3455,2014,1
C,ForkEvent,17369,56205,2014,1
VimL,WatchEvent,3680,26314,2014,1
Processing,PushEvent,1641,10470,2014,1
Go,PushEvent,12621,105504,2014,1
TeX,PushEvent,9149,106477,2014,1
Python,IssuesEvent,13684,91368,2014,1
C++,IssuesEvent,5132,39840,2014,1
Groovy,PushEvent,3474,30106,2014,1
Ruby,ForkEvent,25961,80145,2014,1
Emacs Lisp,PushEvent,7774,57366,2014,1
CSS,ForkEvent,12139,62008,2014,1
Rust,PushEvent,1183,18042,2014,1
TypeScript,PushEvent,3253,33766,2014,1
Matlab,WatchEvent,585,1385,2014,1
Ruby,WatchEvent,32246,193175,2014,1
OCaml,PushEvent,1415,15829,2014,1
Haskell,ForkEvent,1220,2503,2014,1
ActionScript,PushEvent,2130,19030,2014,1
Puppet,ForkEvent,1324,3129,2014,1
Assembly,PushEvent,1453,13930,2014,1
Lua,ForkEvent,1529,3796,2014,1
Rust,WatchEvent,385,2879,2014,1
Scala,WatchEvent,2959,22648,2014,1
CSS,IssuesEvent,6241,38176,2014,1
Haskell,IssuesEvent,810,3781,2014,1
OCaml,ForkEvent,304,579,2014,1
Emacs Lisp,WatchEvent,1908,8865,2014,1
Ruby,CreateEvent,310,343,2014,1
AutoHotkey,PushEvent,308,3011,2014,1
TeX,IssuesEvent,485,3241,2014,1
Common Lisp,PushEvent,1331,12065,2014,1
R,PushEvent,10817,72830,2014,1
Perl,ForkEvent,2938,6119,2014,1
Haskell,WatchEvent,2148,8303,2014,1
CoffeeScript,PushEvent,10663,88830,2014,1
Emacs Lisp,IssuesEvent,552,2441,2014,1
Visual Basic,PushEvent,1585,11417,2014,1
Objective-C,IssuesEvent,3840,17606,2014,1
Dart,IssuesEvent,209,1581,2014,1
Go,ForkEvent,2956,10270,2014,1
XML,PushEvent,62,3432,2014,1
F#,ForkEvent,169,521,2014,1
TypeScript,WatchEvent,715,4847,2014,1
Clean,PushEvent,10,171,2014,1
Lua,WatchEvent,2169,6778,2014,1
Julia,WatchEvent,332,1782,2014,1
ActionScript,WatchEvent,1116,3723,2014,1
ActionScript,ForkEvent,776,1949,2014,1
Emacs Lisp,ForkEvent,1107,2799,2014,1
Scheme,PushEvent,1321,10322,2014,1
Arduino,ForkEvent,634,1302,2014,1
Perl,WatchEvent,3809,12237,2014,1
Clojure,WatchEvent,2761,24711,2014,1
TypeScript,IssuesEvent,309,4369,2014,1
Puppet,IssuesEvent,464,1599,2014,1
PowerShell,WatchEvent,406,1507,2014,1
Xtend,PushEvent,71,809,2014,1
VimL,ForkEvent,2068,6471,2014,1
D,IssuesEvent,150,1062,2014,1
Assembly,WatchEvent,420,2621,2014,1
Verilog,PushEvent,438,4461,2014,1
Logos,PushEvent,373,2600,2014,1
M,PushEvent,243,1532,2014,1
Erlang,IssuesEvent,276,1122,2014,1
Perl,IssuesEvent,1508,5642,2014,1
XSLT,ForkEvent,265,1148,2014,1
COBOL,PushEvent,35,416,2014,1
Haxe,ForkEvent,188,552,2014,1
Puppet,WatchEvent,1037,2708,2014,1
IDL,PushEvent,607,6526,2014,1
Verilog,WatchEvent,165,355,2014,1
