repository_language,active_repos_by_name,active_repos_by_url,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
LiveScript,274,360,7078,172210403,277341,101469,921138
Dart,1561,2233,38582,383882601,1494682,1178156,10290924
Common Lisp,1518,1998,21085,197769134,163599,81985,1155267
MoonScript,56,61,785,1958408,670,256,5416
Apex,388,431,4788,23346523,21806,246025,24702
Io,72,98,1569,193454695,75591,82411,680689
Elixir,595,976,12450,83782868,578397,75033,4089208
ASP,1311,1435,14093,763258472,47113,12166,54906
BlitzBasic,168,274,5205,148275453,45068,9926,36033
Bro,24,32,147,344986,85,7,387
Pure Data,184,202,1169,6127450,6404,447,13457
Groovy,3566,4470,55189,739380252,459889,223142,1505459
Logos,486,575,4681,55219282,102867,3518,63640
F#,742,1110,21173,528609967,479513,231066,1352611
AutoHotkey,336,439,4533,12191268,5860,7362,20953
Erlang,2744,4534,53481,1332606848,2725270,553698,9378157
IDL,567,693,9511,857041601,240252,456832,1214994
Racket,683,835,8668,287110996,220560,71600,826553
XSLT,1260,1872,27197,701983499,2039300,259605,1616201
ColdFusion,439,567,7658,343002485,196099,526934,396673
Standard ML,233,293,3939,63725081,10084,9603,32468
PowerShell,1371,1881,17966,125663780,297436,157958,1531061
XML,117,127,4250,199475431,41956,32558,28895
Scheme,1219,1742,15801,77410530,55114,22212,268038
DOT,279,332,3983,454900648,10200,5351,35248
Pascal,1026,1154,12948,703002689,72952,26943,168621
AutoIt,150,177,1911,10646169,3289,1696,4468
Vala,218,315,7565,37827317,104414,88088,1800784
Julia,789,1363,39084,1439099848,8625738,8551463,43778386
Nemerle,79,110,872,35994301,9367,11198,25245
Eiffel,91,133,2064,71404264,21922,9269,19386
Kotlin,89,103,1783,33497143,6417,5070,19639
Awk,130,155,1166,20491710,4568,1866,36333
Slash,61,71,978,67572061,6844,3993,7484
OCaml,1340,1958,31118,448867075,358555,245328,1256130
Tcl,425,486,4746,75342669,8459,5387,19785
M,267,299,2207,58464378,7145,1671,55487
DM,94,369,27863,9797444943,5451435,3590910,1693164
Smalltalk,151,187,2806,49603782,7462,13201,15859
SuperCollider,93,100,855,4103748,473,1387,1965
Elm,85,106,1231,2418186,13898,3051,19128
ANTLR,51,73,336,2453931,70,162,299
Gosu,151,170,1358,639085,3520,906,6651
Ada,146,161,1871,21568344,1788,2523,3548
Lasso,31,175,5582,140116256,4200336,498325,3024185
Processing,1825,2244,15294,163602577,113827,19198,419966
Perl6,52,75,940,14496200,87184,5845,292050
Coq,136,179,2958,11588180,22789,10111,76710
Xtend,73,87,1530,31838495,3615,32059,15564
XC,67,88,827,9243431,1811,256,1705
Squirrel,82,99,664,1105276,1610,626,4770
Arc,39,51,416,16048238,8776,629,49401
Dylan,50,85,1315,56675035,14081,19045,60836
UnrealScript,94,105,1526,93397737,423,548,386
nesC,177,278,8733,1272326419,120259,89763,105895
Prolog,246,257,918,9984736,3150,436,14543
Objective-J,105,158,2523,120308581,184966,75396,1124518
HaXe,136,145,763,3092274,3303,1450,17049
Rebol,31,39,194,331259,338,1071,823
xBase,42,49,1875,571612680,2379,6060,2678
Brightscript,25,39,1425,18630574,8618,25042,24875
Pike,27,28,465,1157707,828,342,1580
DCPU-16 ASM,29,31,178,114729,422,498,2558
Bluespec,5,5,662,8986437,728,1452,1329
KRL,41,73,6258,4339187,2680,0,2035
XQuery,122,152,1752,10696654,5095,7270,10412
Crystal,8,17,709,10495911,16112,6737,321926
Ragel in Ruby Host,14,43,159,605692,2296,314,9090
Agda,95,113,1265,2259679,2122,509,11912
Scilab,97,106,722,16527836,873,456,991
Oxygene,45,52,366,18416737,5593,652,13139
Ecl,6,17,170,1085880,1258,606,1657
Delphi,126,132,327,4651758,2501,960,6295
Factor,25,43,753,56694499,30549,102602,121481
CLIPS,40,47,321,163712,139,21,274
wisp,7,24,187,110159,80,749,138
eC,8,22,49,342266,37,85,65
Turing,18,27,176,1875060,144,101,303
NetLogo,64,69,835,6001499,720,4865,2476
Parrot,17,35,344,25723583,8406,6478,21859
Monkey,32,33,222,914494,129,147,561
Nu,37,40,96,202864,145,4,906
COBOL,31,40,548,24593215,590,115,2799
Idris,46,52,588,112698,358,54,4333
Ceylon,36,55,863,3198785,11290,18717,17462
J,21,31,143,135800,43,0,81
XProc,16,29,390,3142156,327,518,892
Boo,47,58,406,913941,264,571,923
Forth,21,31,118,526170,99,145,173
Augeas,11,27,369,2987951,14638,2293,23787
Fancy,14,19,51,215578,247,42,3245
Mirah,28,33,227,8172267,8908,8801,102802
Logtalk,8,16,386,5645412,466,1444,8478
Opa,17,17,35,1512426,95,30,436
Volt,5,7,72,148686,6,0,139
Self,10,31,262,20206468,3634,2332,30135
RobotFramework,6,8,122,1371902,93,603,97
ABAP,14,28,214,144437,241,2,460
Fantom,28,32,103,327100,52,0,192
Clean,14,17,242,12487462,658,2,5280
ooc,47,58,475,3525718,620,284,2250
TXL,2,4,7,4412,4,0,9
Glyph,16,23,121,30161523,88,0,168
PogoScript,23,34,142,297632,371,129,1138
Ioke,13,25,47,19396,27,3,97
Rouge,6,9,27,6593932,16,2,44
Omgrofl,4,4,25,976,6,0,12
