repository_language,active_repos_by_name,active_repos_by_url,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
JavaScript,216424,308478,4890038,127045681359,819752555,242168364,3698080831
PHP,107717,157369,2113724,62609128399,179650379,61414706,465544584
Ruby,99274,190694,2131628,63376002985,490048134,37618451,1367901667
Python,113860,169224,2560340,122401727602,174817054,77339230,586651078
C,55225,91721,1311168,146878918576,120258083,31197022,379025025
C#,39931,49755,592619,32028452761,20099137,9422728,52510173
Objective-C,41129,55376,638645,8498868805,48209499,6894943,269716772
Java,156329,206923,2883500,322936770689,138689898,43238464,326299594
VimL,5612,23144,181561,579340353,11260648,1147420,61822186
CSS,103178,132699,1732487,23890459902,496890450,19560451,1492508632
Perl,13831,18513,195316,7562751323,3218283,1414585,9044119
FORTRAN,1051,1429,13367,651944030,69488,53484,147765
Emacs Lisp,3411,9444,97421,1235114569,3030931,430700,9764298
Assembly,1597,1940,21263,666911963,280236,67878,1773546
Shell,36570,66943,682837,35207122564,42484148,5886670,156861118
Go,10715,17677,267165,1798963176,33537962,10106369,248945966
C++,56653,84468,1318294,185337670095,92428193,46371603,325196665
REALbasic,19,33,616,5179692,1649,436,2287
TypeScript,2381,3967,81551,5742707612,24798584,5418095,40507688
Scala,8135,11497,204697,8388224482,20423948,4041933,73416481
CoffeeScript,10529,14155,222227,1158564905,14074705,3205175,86991266
D,1544,2229,31255,461189963,1371413,275576,2718422
ActionScript,3030,3703,34978,1809270725,1312148,389378,5284568
Matlab,3872,4400,42566,2149766233,220289,113526,430537
Arduino,3885,4394,26792,95040435,128367,21683,306495
Clojure,5733,8846,101846,431852155,4121900,2635088,41540605
TeX,7473,10161,141293,5409035223,571461,644845,2155138
Lua,5958,8222,104086,2124875889,1779550,559579,3880895
OpenEdge ABL,226,264,2548,156804396,10251,2484,6848
Haxe,779,1137,20693,439196442,682044,628170,2705401
Visual Basic,2004,2240,17062,324033341,55864,43471,928089
Verilog,570,645,6126,89626817,15092,5816,26746
Puppet,3374,6994,62928,486098787,665889,104974,760802
R,11698,17939,119324,2015163569,974117,478189,3380486
VHDL,622,911,9896,153904471,16948,14430,31854
AppleScript,395,489,3015,12130427,9710,1213,48379
Rust,744,1433,57537,8159075881,24442109,38208147,117139951
Max,235,256,3073,185064680,5687,230215,17248
Haskell,6040,8596,99393,587376653,1421575,894403,7969447
Nimrod,89,138,2610,585586072,104778,340545,660140
