repository_language,type,active_repos_by_url,events,year,quarter
C++,PushEvent,53392,690685,2013,4
Ruby,PushEvent,126093,1000996,2013,4
Java,IssuesEvent,10873,74599,2013,4
JavaScript,PushEvent,198776,2020050,2013,4
Python,PushEvent,113228,1039031,2013,4
CSS,WatchEvent,10480,98358,2013,4
Shell,PushEvent,44421,419238,2013,4
Java,PushEvent,135889,1477266,2013,4
Perl,PushEvent,13214,103722,2013,4
C#,PushEvent,28638,282321,2013,4
Objective-C,WatchEvent,14537,176841,2013,4
C,PushEvent,55719,591954,2013,4
CSS,PushEvent,95491,929489,2013,4
C,ForkEvent,16410,50870,2013,4
Haskell,PushEvent,5703,47561,2013,4
Java,WatchEvent,30562,145583,2013,4
JavaScript,IssuesEvent,22800,210384,2013,4
JavaScript,ForkEvent,45883,203079,2013,4
JavaScript,WatchEvent,67868,643707,2013,4
Lua,ForkEvent,1174,2918,2013,4
C++,ForkEvent,12955,36914,2013,4
C#,IssuesEvent,2861,21296,2013,4
Ruby,WatchEvent,30255,180795,2013,4
PHP,PushEvent,91879,936272,2013,4
Clojure,PushEvent,5719,37884,2013,4
Scala,PushEvent,7718,74787,2013,4
C,IssuesEvent,4134,29265,2013,4
PHP,WatchEvent,27046,125756,2013,4
R,PushEvent,4578,47686,2013,4
Objective-C,ForkEvent,10911,40089,2013,4
Scala,WatchEvent,2756,24290,2013,4
Python,WatchEvent,34065,179287,2013,4
XSLT,PushEvent,1384,12370,2013,4
Common Lisp,PushEvent,1261,10105,2013,4
PHP,IssuesEvent,10020,73338,2013,4
Objective-C,PushEvent,27837,193711,2013,4
C++,WatchEvent,13388,68955,2013,4
Ruby,IssuesEvent,9255,51088,2013,4
Haskell,WatchEvent,1890,7886,2013,4
Go,WatchEvent,4940,58312,2013,4
Parrot,PushEvent,11,432,2013,4
VHDL,PushEvent,401,4982,2013,4
Go,PushEvent,10011,79418,2013,4
Emacs Lisp,ForkEvent,974,2686,2013,4
Puppet,PushEvent,4817,32838,2013,4
PHP,ForkEvent,20812,65700,2013,4
Ruby,ForkEvent,25308,76784,2013,4
Rust,IssuesEvent,65,1053,2013,4
CoffeeScript,PushEvent,8698,75347,2013,4
VimL,PushEvent,18264,108955,2013,4
Python,ForkEvent,25409,72002,2013,4
PowerShell,WatchEvent,272,1372,2013,4
Erlang,PushEvent,3007,21915,2013,4
D,PushEvent,1419,12702,2013,4
Lua,WatchEvent,1813,5548,2013,4
Java,ForkEvent,30181,104240,2013,4
CSS,ForkEvent,9564,36016,2013,4
OpenEdge ABL,PushEvent,171,3545,2013,4
F#,PushEvent,650,6723,2013,4
R,IssuesEvent,490,2749,2013,4
Python,IssuesEvent,11632,67365,2013,4
Clojure,WatchEvent,2327,15621,2013,4
CSS,CreateEvent,595,613,2013,4
Haxe,IssuesEvent,73,831,2013,4
ASP,PushEvent,892,9949,2013,4
Lua,PushEvent,4989,47487,2013,4
Objective-C,IssuesEvent,3036,14433,2013,4
Shell,ForkEvent,7961,22861,2013,4
Haxe,WatchEvent,290,1294,2013,4
CSS,IssuesEvent,5203,30483,2013,4
ActionScript,PushEvent,2114,20567,2013,4
Shell,WatchEvent,9193,51798,2013,4
Emacs Lisp,PushEvent,6837,51635,2013,4
Rust,PushEvent,892,12943,2013,4
C,WatchEvent,18468,95326,2013,4
Processing,PushEvent,1369,10017,2013,4
Groovy,PushEvent,3046,25847,2013,4
FORTRAN,PushEvent,711,7720,2013,4
CoffeeScript,IssuesEvent,1269,6486,2013,4
C#,WatchEvent,7898,29438,2013,4
Shell,IssuesEvent,2393,10285,2013,4
Julia,IssuesEvent,159,1306,2013,4
C++,IssuesEvent,4330,33371,2013,4
CoffeeScript,WatchEvent,3318,29394,2013,4
HaXe,WatchEvent,104,196,2013,4
Perl,WatchEvent,3540,11170,2013,4
D,IssuesEvent,146,991,2013,4
Elixir,PushEvent,661,4866,2013,4
LiveScript,IssuesEvent,41,214,2013,4
Go,ForkEvent,2345,8768,2013,4
Scheme,PushEvent,921,7607,2013,4
OCaml,PushEvent,1340,17417,2013,4
ActionScript,WatchEvent,1146,5089,2013,4
DOT,PushEvent,277,4107,2013,4
Puppet,IssuesEvent,406,1515,2013,4
PowerShell,PushEvent,1129,8516,2013,4
Eiffel,IssuesEvent,6,123,2013,4
XSLT,IssuesEvent,153,1064,2013,4
TypeScript,ForkEvent,382,2816,2013,4
Logos,PushEvent,1508,19673,2013,4
Haskell,ForkEvent,1018,1997,2013,4
Common Lisp,WatchEvent,563,1946,2013,4
Clojure,ForkEvent,1142,3695,2013,4
Matlab,PushEvent,3029,39045,2013,4
VimL,WatchEvent,3189,24311,2013,4
Perl,ForkEvent,3023,5932,2013,4
ActionScript,IssuesEvent,206,1449,2013,4
C#,ForkEvent,6639,18488,2013,4
Haskell,IssuesEvent,641,3178,2013,4
Ada,PushEvent,141,1777,2013,4
TypeScript,IssuesEvent,167,1484,2013,4
