repository_language,type,active_repos_by_url,events,year,quarter
PHP,PushEvent,118272,1162924,2014,2
Ruby,PushEvent,135781,1103911,2014,2
JavaScript,WatchEvent,95853,803776,2014,2
JavaScript,IssuesEvent,33453,189867,2014,2
CSS,PushEvent,125066,1335101,2014,2
Ruby,ForkEvent,25195,78682,2014,2
Shell,ForkEvent,10462,27358,2014,2
Rust,PushEvent,1787,24706,2014,2
Go,WatchEvent,7459,92940,2014,2
JavaScript,PushEvent,263214,2756634,2014,2
Java,PushEvent,176906,1935910,2014,2
CSS,IssuesEvent,7006,39397,2014,2
Ruby,WatchEvent,34180,202115,2014,2
VimL,WatchEvent,3680,26673,2014,2
C,PushEvent,65117,711926,2014,2
C++,PushEvent,70112,825622,2014,2
Matlab,PushEvent,4496,40300,2014,2
Python,PushEvent,152104,1395981,2014,2
Visual Basic,PushEvent,1719,14261,2014,2
CSS,WatchEvent,16107,153678,2014,2
Objective-C,ForkEvent,12622,46404,2014,2
Java,IssuesEvent,14191,107925,2014,2
C,ForkEvent,19063,59833,2014,2
PowerShell,PushEvent,1919,15223,2014,2
Shell,WatchEvent,12500,64684,2014,2
Java,ForkEvent,39458,131485,2014,2
C,WatchEvent,21347,118185,2014,2
C,IssuesEvent,4992,32154,2014,2
DM,PushEvent,396,9316,2014,2
JavaScript,ForkEvent,59531,240463,2014,2
R,PushEvent,32731,141558,2014,2
VimL,PushEvent,20730,118087,2014,2
Perl,PushEvent,13969,115356,2014,2
Tcl,PushEvent,462,3787,2014,2
Ruby,IssuesEvent,10672,58256,2014,2
Shell,PushEvent,53967,463574,2014,2
PHP,WatchEvent,32001,144378,2014,2
CSS,ForkEvent,13384,70456,2014,2
Java,WatchEvent,38006,206261,2014,2
Go,PushEvent,15493,132432,2014,2
Swift,PushEvent,1989,10529,2014,2
Objective-C,PushEvent,36414,250836,2014,2
PHP,ForkEvent,25673,73886,2014,2
C++,WatchEvent,17818,92188,2014,2
Python,WatchEvent,42229,235550,2014,2
TeX,PushEvent,10255,129565,2014,2
Objective-C,WatchEvent,18594,214382,2014,2
PowerShell,WatchEvent,443,1799,2014,2
Python,IssuesEvent,13626,97021,2014,2
OCaml,PushEvent,1397,15046,2014,2
