repository_language,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
Component Pascal,6,80,207908,0,0,20
Mercury,105,1230,177556121,4584,1362,30776
Gnuplot,58,1418,156162970,5280,5662,2312
Mathematica,39,396,31394717,2062,200,1519
SAS,40,2758,21732137,32,864152,530
JSONiq,7,118,267822,4,121,171
Rebol,138,1680,25201435,23166,6089,108671
SourcePawn,123,2433,50719198,5923,11444,5495
Logtalk,3,354,7620627,681,1555,9548
Hy,19,186,1048749,102,82,730
SystemVerilog,52,573,4566022,152,2215,563
GAP,58,768,44948263,5252,4859,5892
Pike,13,334,3022852,830,22,1407
ATS,11,722,15921579,5010,873,12140
Clean,8,152,3119712,216,0,1731
Red,8,407,7527888,23324,11092,121041
Nu,13,87,1944292,96,1,323
Inform 7,19,1268,50081783,26218,6168,24613
Delphi,100,235,2154563,626,298,1161
Zephir,8,102,65407,98,42,957
PAWN,50,546,7861543,1273,3178,1967
J,25,104,428869,22,1,44
RobotFramework,10,79,581588,84,378,109
ABAP,13,46,18261,87,0,153
PureScript,65,1438,523705,1198,3387,7475
XProc,11,314,5097821,458,1112,1066
wisp,6,131,411854,110,704,295
REALbasic,26,630,4898260,1777,1460,3866
Forth,11,109,305280,34,133,210
FLUX,21,182,2905698,1446,241,925
Ecl,5,128,640124,826,694,1205
Harbour,5,34,93379,0,0,11
PogoScript,9,36,25895,62,9,189
Fancy,3,23,224752,288,68,4089
Turing,10,54,2012079,165,123,265
Opa,15,19,2234761,41,7,114
GAMS,5,25,26860786,6,0,2
Monkey,32,155,405287,60,112,295
VCL,14,63,11465,883,91,2631
Nix,3,43,8738804,10924,11911,8460
Self,2,57,4614910,1038,727,9652
Mirah,8,45,1900616,2190,2245,24914
Cirru,2,42,13512,22,16,73
Grammatical Framework,5,29,1935666,66,12,289
DCPU-16 ASM,10,23,35410,154,172,1021
Dogescript,5,44,8974,0,7,56
Rouge,3,23,18537,13,1,28
E,1,2,3840,0,0,1
Shen,1,3,11716,3,0,10
Ioke,1,1,96,1,1,9
Omgrofl,1,1,104,1,0,5
TXL,1,1,140,1,0,3
Moocode,1,1,0,0,0,0
Ox,1,1,2322,0,0,3
