repository_language,type,active_repos_by_url,events,year,quarter
PHP,PushEvent,50802,1032696,2012,3
Ruby,PushEvent,81251,1225977,2012,3
CoffeeScript,PushEvent,4633,73513,2012,3
Perl,PushEvent,11496,471725,2012,3
JavaScript,PushEvent,103523,2086521,2012,3
Python,WatchEvent,18977,187669,2012,3
Shell,PushEvent,18835,311845,2012,3
Scala,WatchEvent,1445,17211,2012,3
JavaScript,ForkEvent,25513,208013,2012,3
C,PushEvent,25473,616357,2012,3
Ruby,ForkEvent,15909,109154,2012,3
Java,WatchEvent,14464,121208,2012,3
C,WatchEvent,9692,94763,2012,3
JavaScript,WatchEvent,35141,678794,2012,3
Puppet,PushEvent,1774,25641,2012,3
Erlang,PushEvent,1826,27346,2012,3
Emacs Lisp,PushEvent,5058,69433,2012,3
Java,PushEvent,58012,1201917,2012,3
Python,PushEvent,55580,1063846,2012,3
PHP,ForkEvent,11313,73571,2012,3
C++,ForkEvent,5266,31837,2012,3
PHP,WatchEvent,17432,148842,2012,3
C#,PushEvent,13607,226726,2012,3
Objective-C,PushEvent,14807,205546,2012,3
C++,WatchEvent,7265,63432,2012,3
Haskell,IssuesEvent,344,3395,2012,3
C++,IssuesEvent,1915,34956,2012,3
Scala,IssuesEvent,406,5029,2012,3
Ruby,WatchEvent,20901,271347,2012,3
Lua,PushEvent,2793,58939,2012,3
VimL,PushEvent,13209,167380,2012,3
C#,IssuesEvent,1308,18962,2012,3
Objective-C,WatchEvent,8922,170965,2012,3
Dylan,PushEvent,10,424,2012,3
Objective-C,IssuesEvent,1543,15702,2012,3
Racket,PushEvent,355,8218,2012,3
ActionScript,PushEvent,1922,30957,2012,3
Java,ForkEvent,12459,78124,2012,3
C#,ForkEvent,2741,16499,2012,3
Haskell,PushEvent,3647,57263,2012,3
Common Lisp,PushEvent,897,11595,2012,3
Python,IssuesEvent,5762,76800,2012,3
C++,PushEvent,23920,615209,2012,3
Dart,PushEvent,280,5278,2012,3
Java,IssuesEvent,4744,84248,2012,3
JavaScript,IssuesEvent,10209,168971,2012,3
VimL,IssuesEvent,382,3042,2012,3
Groovy,PushEvent,1913,26280,2012,3
Python,ForkEvent,13301,72928,2012,3
R,IssuesEvent,174,1873,2012,3
Shell,ForkEvent,3258,19164,2012,3
Scala,PushEvent,4006,80983,2012,3
Clojure,PushEvent,2984,45404,2012,3
VimL,ForkEvent,1502,10388,2012,3
VimL,WatchEvent,2274,32848,2012,3
CoffeeScript,ForkEvent,1214,7682,2012,3
Elixir,PushEvent,70,1963,2012,3
Objective-C,ForkEvent,5591,44684,2012,3
ActionScript,WatchEvent,984,7919,2012,3
Delphi,PushEvent,367,8256,2012,3
CoffeeScript,WatchEvent,1723,30520,2012,3
CoffeeScript,IssuesEvent,534,6824,2012,3
PHP,IssuesEvent,5287,76347,2012,3
Groovy,IssuesEvent,202,1791,2012,3
C,ForkEvent,7282,43185,2012,3
C#,WatchEvent,4405,33689,2012,3
Go,IssuesEvent,229,1798,2012,3
HaXe,PushEvent,335,8332,2012,3
ASP,PushEvent,323,5976,2012,3
Haskell,WatchEvent,1149,8468,2012,3
Ruby,IssuesEvent,5743,63421,2012,3
Shell,WatchEvent,4298,41397,2012,3
C,IssuesEvent,2146,25171,2012,3
AutoHotkey,PushEvent,130,1834,2012,3
Go,PushEvent,2720,43745,2012,3
Perl,IssuesEvent,841,7183,2012,3
Dylan,IssuesEvent,1,133,2012,3
Scilab,PushEvent,40,1123,2012,3
Arduino,PushEvent,907,9403,2012,3
Rust,IssuesEvent,17,1689,2012,3
FORTRAN,PushEvent,321,6781,2012,3
Perl,WatchEvent,2603,21075,2012,3
Perl,ForkEvent,1969,9738,2012,3
Haskell,ForkEvent,665,2668,2012,3
OCaml,PushEvent,557,13937,2012,3
Scheme,PushEvent,422,7383,2012,3
Visual Basic,PushEvent,583,7672,2012,3
Clojure,WatchEvent,1361,17881,2012,3
Erlang,WatchEvent,1161,9301,2012,3
Erlang,ForkEvent,802,3669,2012,3
Smalltalk,PushEvent,89,2094,2012,3
Assembly,PushEvent,486,6308,2012,3
Lua,ForkEvent,614,2548,2012,3
D,PushEvent,736,14200,2012,3
Prolog,PushEvent,299,3964,2012,3
ActionScript,IssuesEvent,187,2990,2012,3
R,PushEvent,1451,28813,2012,3
Objective-J,IssuesEvent,8,239,2012,3
Visual Basic,WatchEvent,100,882,2012,3
Factor,WatchEvent,6,55,2012,3
Matlab,WatchEvent,129,431,2012,3
Apex,PushEvent,127,1977,2012,3
Vala,WatchEvent,56,237,2012,3
Assembly,ForkEvent,81,411,2012,3
Groovy,WatchEvent,538,2578,2012,3
Shell,IssuesEvent,915,8510,2012,3
Visual Basic,ForkEvent,72,251,2012,3
Arduino,IssuesEvent,35,198,2012,3
Parrot,PushEvent,9,1110,2012,3
Emacs Lisp,ForkEvent,878,4418,2012,3
Standard ML,PushEvent,49,1662,2012,3
Scala,ForkEvent,893,5209,2012,3
Matlab,PushEvent,769,12497,2012,3
ActionScript,ForkEvent,602,3340,2012,3
HaXe,IssuesEvent,66,641,2012,3
Lua,WatchEvent,940,5062,2012,3
ColdFusion,PushEvent,359,6713,2012,3
HaXe,WatchEvent,265,2048,2012,3
Tcl,PushEvent,176,1611,2012,3
Emacs Lisp,WatchEvent,1085,9999,2012,3
Go,WatchEvent,1411,13680,2012,3
Ada,PushEvent,36,565,2012,3
Clojure,IssuesEvent,349,3026,2012,3
Julia,PushEvent,88,3648,2012,3
Assembly,WatchEvent,128,829,2012,3
ColdFusion,WatchEvent,166,762,2012,3
R,WatchEvent,343,2118,2012,3
R,ForkEvent,241,1086,2012,3
F#,PushEvent,253,4561,2012,3
Delphi,WatchEvent,98,425,2012,3
Go,ForkEvent,694,3157,2012,3
Rust,PushEvent,196,7881,2012,3
HaXe,ForkEvent,101,423,2012,3
Scheme,WatchEvent,138,678,2012,3
Clojure,ForkEvent,782,3818,2012,3
Verilog,PushEvent,130,2414,2012,3
Objective-J,PushEvent,71,1548,2012,3
OCaml,IssuesEvent,50,695,2012,3
Coq,PushEvent,96,1603,2012,3
ColdFusion,ForkEvent,117,489,2012,3
Common Lisp,ForkEvent,234,808,2012,3
Puppet,ForkEvent,480,2697,2012,3
PowerShell,PushEvent,456,4075,2012,3
OCaml,WatchEvent,262,1379,2012,3
Common Lisp,WatchEvent,446,2269,2012,3
Delphi,IssuesEvent,32,343,2012,3
Lua,IssuesEvent,251,3048,2012,3
Puppet,WatchEvent,428,2086,2012,3
PowerShell,IssuesEvent,34,218,2012,3
Dart,ForkEvent,65,277,2012,3
Dart,WatchEvent,135,1244,2012,3
Eiffel,PushEvent,49,678,2012,3
Arc,WatchEvent,6,49,2012,3
SuperCollider,PushEvent,50,808,2012,3
Emacs Lisp,IssuesEvent,298,2559,2012,3
Pure Data,PushEvent,75,460,2012,3
D,WatchEvent,248,1457,2012,3
DCPU-16 ASM,PushEvent,10,554,2012,3
Racket,WatchEvent,65,302,2012,3
Factor,PushEvent,24,3603,2012,3
Verilog,WatchEvent,44,192,2012,3
Rebol,PushEvent,41,181,2012,3
Nemerle,PushEvent,38,1607,2012,3
OpenEdge ABL,PushEvent,50,1372,2012,3
Vala,PushEvent,138,2783,2012,3
OCaml,ForkEvent,129,443,2012,3
FORTRAN,WatchEvent,55,207,2012,3
XQuery,PushEvent,55,734,2012,3
PowerShell,ForkEvent,64,295,2012,3
Rust,ForkEvent,44,319,2012,3
Erlang,IssuesEvent,183,1253,2012,3
Ioke,WatchEvent,1,4,2012,3
Arduino,WatchEvent,199,990,2012,3
Rust,WatchEvent,85,1130,2012,3
Kotlin,PushEvent,32,810,2012,3
ColdFusion,IssuesEvent,65,1194,2012,3
Tcl,IssuesEvent,14,55,2012,3
Delphi,ForkEvent,50,179,2012,3
PowerShell,WatchEvent,104,785,2012,3
VHDL,PushEvent,129,2790,2012,3
Self,PushEvent,1,84,2012,3
OpenEdge ABL,IssuesEvent,5,41,2012,3
Visual Basic,IssuesEvent,47,420,2012,3
Tcl,WatchEvent,32,158,2012,3
Groovy,ForkEvent,436,1937,2012,3
Julia,IssuesEvent,6,599,2012,3
Julia,WatchEvent,21,547,2012,3
Arduino,ForkEvent,148,518,2012,3
Coq,WatchEvent,23,112,2012,3
Apex,IssuesEvent,13,62,2012,3
DCPU-16 ASM,IssuesEvent,4,120,2012,3
D,ForkEvent,128,645,2012,3
AutoHotkey,IssuesEvent,16,1801,2012,3
Puppet,IssuesEvent,107,463,2012,3
Apex,WatchEvent,53,212,2012,3
Turing,IssuesEvent,2,8,2012,3
XQuery,IssuesEvent,13,61,2012,3
Nimrod,IssuesEvent,3,96,2012,3
Scheme,ForkEvent,65,226,2012,3
Opa,WatchEvent,16,48,2012,3
OpenEdge ABL,WatchEvent,10,76,2012,3
Objective-J,WatchEvent,70,535,2012,3
Factor,IssuesEvent,3,357,2012,3
D,IssuesEvent,65,883,2012,3
Racket,ForkEvent,33,115,2012,3
ASP,WatchEvent,43,174,2012,3
ooc,PushEvent,8,456,2012,3
Matlab,ForkEvent,110,253,2012,3
Julia,ForkEvent,13,144,2012,3
Nemerle,IssuesEvent,4,125,2012,3
F#,WatchEvent,114,659,2012,3
Common Lisp,IssuesEvent,83,347,2012,3
Nimrod,PushEvent,19,409,2012,3
Io,PushEvent,30,281,2012,3
Matlab,IssuesEvent,25,254,2012,3
Apex,ForkEvent,42,182,2012,3
Ceylon,PushEvent,3,100,2012,3
Vala,ForkEvent,34,123,2012,3
Turing,PushEvent,14,146,2012,3
Gosu,ForkEvent,7,41,2012,3
Gosu,WatchEvent,5,12,2012,3
Augeas,PushEvent,9,164,2012,3
Ada,WatchEvent,14,35,2012,3
Prolog,WatchEvent,46,164,2012,3
Parrot,ForkEvent,5,22,2012,3
Python,CreateEvent,157,413,2012,3
Opa,ForkEvent,10,27,2012,3
Logtalk,PushEvent,4,153,2012,3
Verilog,IssuesEvent,5,34,2012,3
Bro,WatchEvent,8,25,2012,3
AppleScript,PushEvent,34,359,2012,3
Standard ML,IssuesEvent,6,67,2012,3
Coq,IssuesEvent,5,55,2012,3
