repository_language,active_repos_by_name,active_repos_by_url,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
PHP,58673,81861,1074126,11577902806,57580909,19869855,186171775
Objective-C,20036,28264,307855,2798472354,15884652,2962580,97584310
Java,74868,95600,1385121,32069274530,31367598,34911647,87232952
C++,27753,35625,602732,37300351635,24641033,21718320,80807712
Python,58200,83062,1134558,21257105588,34314728,26427557,143573288
Ruby,69360,116405,1319247,7276861728,196345043,24267877,725229997
JavaScript,121509,164714,2427835,26967245508,359698434,113196260,1907091120
Scala,4704,6479,97151,1106409544,4850111,836542,23269026
C,30075,43189,664338,25011941070,25237853,14291856,91006879
R,1995,2344,28403,234284863,164534,169332,856567
Shell,16779,28077,290350,4090253844,13638575,3767440,53639451
Scheme,598,733,6498,273840244,4609,4487,23619
Perl,10438,13969,137107,1407531884,2665545,1365338,12278848
OCaml,681,948,16775,1080711997,168279,91503,995329
Tcl,241,255,1808,9662180,1741,4449,14225
Common Lisp,1188,1533,12619,129238855,28464,21933,154280
Haskell,3706,5025,60689,122465259,475768,882175,2562439
Go,3456,5224,54800,249656363,497697,195217,3948439
VimL,4280,16926,117383,167373477,2881245,512675,20917146
C#,18047,24524,259577,5153751756,7348210,3956920,29545412
Clojure,3221,4978,48316,389454352,908374,215139,5582956
Rust,167,313,8984,31851879,1050301,4391174,7052580
Emacs Lisp,2494,6017,54938,289732820,883700,254286,3446976
Visual Basic,927,992,7776,112067331,10295,17741,288166
CoffeeScript,5168,6842,85108,107768830,3100831,1268535,26813205
AutoHotkey,161,189,1347,2126308,2937,1454,5727
Lua,3138,4114,57283,819219756,625128,333198,1854457
Dart,470,634,10629,8142632,55082,108745,330669
ActionScript,2672,3220,30692,572440473,735616,270094,3612022
Erlang,2224,3705,37858,107849904,818795,201524,3436477
Verilog,274,307,3156,13460091,2393,681,11041
Julia,161,258,10918,772317770,1598739,1421516,11013860
Apex,203,229,1727,2007020,7484,7320,17290
Puppet,1399,3022,25675,76884868,139717,42250,215297
ColdFusion,372,521,6939,66142531,148658,407644,379264
ASP,522,561,6148,104497221,19039,67443,38905
Matlab,1012,1128,11452,252265595,5201,5303,16405
Groovy,2317,3052,28704,329476413,127587,69156,609248
ooc,37,46,507,2741318,117,86,769
HaXe,350,479,6627,13685244,26355,44274,200575
Assembly,787,949,7631,58153664,79405,10466,652980
D,790,1051,17053,131755626,616624,133561,1269246
Io,36,40,184,81936,97,84,387
Arduino,1421,1661,8870,16688161,16549,6130,57776
Prolog,482,521,3832,29878823,3673,28131,22862
F#,326,433,6823,18453654,107739,44412,463008
Racket,521,635,7833,57550439,75074,12444,282373
FORTRAN,448,535,6303,939201922,11645,35148,34655
Vala,143,169,2059,8732711,4232,5582,14105
AppleScript,105,118,743,810822,443,397,4909
PowerShell,567,745,6098,16226726,58152,43216,328345
Delphi,547,632,7424,144938534,28085,10816,82777
Ada,106,118,841,970547,700,3060,980
Smalltalk,104,134,1738,10676553,2885,3202,8451
Max,8,8,108,2845690,0,124,169
Eiffel,54,77,1068,88640376,1318,1024,2260
Gosu,37,38,204,242656,78,263,283
Augeas,9,25,276,123392,1256,125,2456
Coq,85,106,1276,2927884,2287,592,5849
VHDL,230,248,2550,28732826,651,933,2630
SuperCollider,42,43,436,1366016,162,28,1653
Logtalk,4,4,403,2309763,0,129,881
Elixir,75,121,3342,18340372,137380,31471,1517048
Parrot,9,13,636,2573210,2893,19482,9195
DCPU-16 ASM,34,49,803,246045,1696,4902,5705
OpenEdge ABL,93,101,2061,47060920,1246,33384,10861
Objective-J,83,116,1324,2311975,99008,107328,671033
Kotlin,46,54,513,1682668,296,34,1405
Standard ML,81,90,1327,15499622,1103,12808,5607
Nemerle,29,38,439,13393655,11175,29250,39113
Dylan,31,55,630,228736,2962,15751,18405
XQuery,64,77,726,2038844,1572,3170,3846
Scilab,55,60,473,19625236,499,191,1852
Bro,9,13,59,15105,24,10,173
Boo,24,27,349,2387872,82,22,655
Factor,8,15,699,1270676,32832,143547,113712
Rebol,31,43,163,448208,111,2,293
Pure Data,95,109,620,5098892,1082,2082,4869
Opa,24,29,225,515308,112,34,448
Ceylon,8,12,231,45456,731,1998,1447
Arc,14,17,173,1950753,1079,338,9169
Nimrod,10,12,131,391292,124,306,1080
Nu,13,13,155,1790636,23,0,394
Fancy,6,8,81,61164,654,133,11511
Self,5,10,42,884068,151,37,903
Ecl,5,10,123,34612,524,309,1219
Turing,8,10,76,61276,410,64,2318
Ioke,2,2,58,89724,0,0,58
Mirah,16,16,51,45028,41,13,516
eC,2,2,3,388,6,0,10
Fantom,6,6,16,4028,0,0,8
