repository_language,type,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
Julia,IssueCommentEvent,230,14030,765967671,4917680,4947387,25204985
PHP,GollumEvent,4987,20322,275904579,446263,229676,1364924
Java,ForkEvent,29265,113883,8991952049,22282588,1969726,40415979
F#,WatchEvent,319,1516,36580669,31228,11747,109122
Perl,CreateEvent,5139,14435,483172287,95778,55623,214150
Java,CommitCommentEvent,3917,27516,2968379589,1624355,406111,3311513
Dart,PullRequestEvent,181,2964,33195789,225109,190468,1604013
Objective-C,ForkEvent,9497,43941,609991221,6965779,681674,31966883
TypeScript,PullRequestEvent,287,4723,543073268,2381555,349253,3728904
TeX,CreateEvent,2564,4992,82073967,6336,10207,25680
C,WatchEvent,16862,120413,11112021115,27629651,4002839,118074396
C++,CreateEvent,21805,77129,8958207035,1557460,482382,2840947
CoffeeScript,ForkEvent,2607,10101,48333348,1573780,263229,7839512
TypeScript,CreateEvent,911,4095,251056064,49361,22731,92775
Emacs Lisp,PushEvent,2610,57366,839498488,412373,68070,1399144
Emacs Lisp,WatchEvent,1428,8865,87326394,518362,74775,1866378
Tcl,PushEvent,326,3207,66865449,2848,1733,3570
Tcl,PullRequestEvent,18,293,1190379,1488,327,639
C,PublicEvent,1032,1133,26493223,13,325,150
Rust,CommitCommentEvent,59,11968,2305727160,6798719,10479694,32616088
Haskell,IssueCommentEvent,864,12953,95278701,485160,342838,2804760
Python,DeleteEvent,7812,48808,2542430495,852866,476527,2213839
Objective-C,IssueCommentEvent,3417,49386,1392342936,8846284,1579595,46050786
R,IssueCommentEvent,538,9018,217902964,272328,155136,1142925
Python,ForkEvent,25503,82622,1551962169,14126652,2517581,45392593
CoffeeScript,IssuesEvent,1855,15247,99423204,1017185,289167,6464433
CSS,PublicEvent,1636,1694,11727661,4,741,133
JavaScript,DeleteEvent,15336,68802,2720643314,3939863,906564,18644286
Scala,CommitCommentEvent,256,3572,205347856,521376,50393,1948039
Scala,CreateEvent,3310,12383,381446364,291504,76621,1088760
Processing,CreateEvent,869,1251,2037348,1135,294,5576
C++,ForkEvent,11493,41250,3845807871,6438562,2051087,21703936
Clojure,IssuesEvent,695,4777,18949972,273375,191077,3136721
Emacs Lisp,IssueCommentEvent,639,12592,138357185,1009888,147554,3361468
Java,ReleaseEvent,3410,7586,154657610,98834,40143,276593
D,IssueCommentEvent,148,5543,108842576,699501,123648,1366851
Erlang,WatchEvent,1411,7088,104127046,542538,63908,2025579
C++,GollumEvent,3563,20583,1135800930,786049,442311,4144199
AutoHotkey,PushEvent,251,3011,8634919,1526,2756,4016
Go,IssuesEvent,1399,12224,116633697,2546816,811512,18191826
Go,IssueCommentEvent,1352,33302,621755824,15827240,5044236,110275446
Go,WatchEvent,4683,66418,330071611,7296382,1843731,64694999
Lua,CommitCommentEvent,195,1366,41972844,37996,13894,43760
Python,CommitCommentEvent,3566,26484,899815551,1586090,976109,6093608
C,CommitCommentEvent,2000,18009,2437735207,1188494,272301,2960240
Ruby,CommitCommentEvent,3120,23659,622999432,5413830,441872,15022700
TypeScript,CommitCommentEvent,105,864,121930524,256648,40910,399575
Go,PublicEvent,279,301,356936,0,128,43
Objective-C,CreateEvent,16292,36532,284296727,289486,78608,1757686
Objective-C,IssuesEvent,3660,29041,728371949,3630394,704580,18116313
Lua,IssuesEvent,587,6893,193088540,194848,60324,307453
Puppet,PushEvent,2733,34660,314948066,171958,20838,158005
TypeScript,WatchEvent,587,4847,265849439,3272753,442961,5403399
Arduino,CreateEvent,1451,1933,2078443,1607,275,3350
Groovy,ForkEvent,793,1856,13994383,41052,11317,120735
Puppet,CreateEvent,1586,5612,40729253,13416,3029,12968
Matlab,PullRequestEvent,148,671,34305657,7642,7544,11840
Objective-C,PullRequestReviewCommentEvent,260,3570,84802776,268936,68842,1899640
Common Lisp,PushEvent,1046,12065,151447456,32503,14307,215028
C#,WatchEvent,8627,36106,1431788948,3033492,774938,8971138
DM,IssueCommentEvent,24,10675,3674485762,3203361,2245514,978704
DM,PullRequestEvent,32,3653,1468543280,853812,422415,271728
C#,GollumEvent,2520,14215,436339538,285739,114572,1006614
Crystal,ForkEvent,1,12,195173,331,143,6611
nesC,IssueCommentEvent,26,1184,234328167,32045,27791,27524
DM,IssuesEvent,20,1921,593097204,361816,283812,117105
JavaScript,TeamAddEvent,2483,3382,45404942,45282,13236,117973
Clojure,IssueCommentEvent,695,9788,47304944,866276,529430,8660703
Python,PublicEvent,1942,2120,22436727,9,1169,329
BlitzBasic,PushEvent,146,3592,113782674,31296,4761,22349
IDL,WatchEvent,67,220,19770792,7046,12420,33700
DM,ForkEvent,34,506,178553957,90011,49481,28937
OCaml,PushEvent,964,15829,189958137,72825,57561,298579
JavaScript,ReleaseEvent,4780,11853,88157958,292212,79749,1572239
C#,ReleaseEvent,1144,2712,35399925,21449,11969,60843
JavaScript,PublicEvent,4422,5032,43397366,46,3456,823
PHP,ReleaseEvent,3998,9496,56650923,116592,39774,415201
Scala,IssueCommentEvent,888,35648,3245355772,8547378,1575765,25160519
TypeScript,ForkEvent,569,4002,246845380,2418526,289951,3888973
Shell,IssuesEvent,2925,23062,1101272392,2928521,512006,10914056
ASP,PushEvent,1062,11796,672685089,40618,8799,46180
Assembly,PushEvent,1158,13930,380483969,27981,16075,133626
Processing,PushEvent,1338,10470,98707876,11087,4118,32332
Lua,ForkEvent,1428,3796,58281085,129031,29398,234195
Haxe,IssueCommentEvent,118,4070,150777217,257885,259873,1033135
C++,CommitCommentEvent,1718,18600,3594999043,2204263,1671670,3435331
Go,ForkEvent,2463,10270,67993427,1738380,410856,11651938
Emacs Lisp,CreateEvent,1040,4089,20361908,24891,6203,111975
Scilab,PushEvent,69,458,11348476,260,124,260
Pascal,PushEvent,798,9698,598643686,39940,14180,87727
Rust,IssuesEvent,106,2296,428450470,1493276,2317950,7157948
Coq,PushEvent,100,1970,6066732,8628,2989,23771
Clojure,CreateEvent,2524,5717,11113708,19901,8616,206040
JavaScript,PullRequestReviewCommentEvent,2724,57258,8479674479,28757510,7829112,95417355
TypeScript,IssueCommentEvent,282,16165,1385628547,12554588,2550749,20431550
Java,PublicEvent,2635,2878,29431085,42,1502,426
Perl,ForkEvent,2831,6119,106387140,271173,54077,897213
XML,PushEvent,57,3432,190720707,35357,21118,14656
PHP,PullRequestReviewCommentEvent,1323,28956,1958423118,10526623,2988085,26214782
Julia,PushEvent,644,12301,205433543,835249,782130,4049942
VimL,ForkEvent,1301,6471,40260769,2482848,157948,9125853
Scala,IssuesEvent,954,9905,191172003,933370,261799,4140428
Haskell,CreateEvent,2544,5865,24628679,31504,13771,154333
Racket,WatchEvent,233,738,12842064,17094,4110,57969
Perl,PullRequestEvent,1747,9866,517025601,296138,81573,589435
C++,PullRequestEvent,4137,58651,6878774209,8373608,3200973,17442167
Shell,DeleteEvent,2069,13910,921843371,745431,130804,1927284
Groovy,IssueCommentEvent,441,4879,55065267,137187,48871,506743
Haskell,ReleaseEvent,76,165,766962,566,733,3391
PHP,MemberEvent,4255,6740,50363572,8790,6025,23685
CSS,CommitCommentEvent,1797,9177,138008057,4069620,80816,12094977
R,WatchEvent,1235,4506,58049946,146185,47631,495583
Processing,WatchEvent,282,1023,24263805,54926,7001,221734
Lua,WatchEvent,1879,6778,70931150,166665,54980,818125
Assembly,ForkEvent,237,731,26742539,34087,4064,182940
Assembly,PullRequestEvent,64,512,15356163,19227,6250,111695
Perl,IssueCommentEvent,1778,17047,426784958,833901,465525,1671975
Lua,CreateEvent,2103,5029,99135660,8294,5899,21825
Boo,PushEvent,35,316,670156,44,412,197
Nemerle,WatchEvent,33,119,5965598,2437,4155,7929
PowerShell,PushEvent,1062,10712,60907565,26805,13258,118585
Elixir,WatchEvent,268,2030,11315337,104979,14452,734308
Java,PullRequestReviewCommentEvent,1259,33440,3063170209,5975808,2133290,17243845
MoonScript,WatchEvent,25,68,218033,93,13,747
Emacs Lisp,PullRequestEvent,540,4209,21916785,434570,48220,1001553
Logtalk,PushEvent,5,343,5206696,423,1343,7862
Objective-C,PullRequestEvent,2970,18832,400718126,1836547,277552,9143180
Ruby,MemberEvent,4271,7486,21585678,17677,5226,87445
Puppet,WatchEvent,841,2708,8722098,85034,7619,216196
Ruby,GollumEvent,3189,15123,358822118,2190378,233477,8331070
Arduino,PullRequestEvent,152,626,2435399,10031,1785,22458
Emacs Lisp,PullRequestReviewCommentEvent,44,334,1192057,25290,4996,103440
Visual Basic,PushEvent,1460,11417,219659999,7167,9892,15767
Standard ML,PullRequestEvent,20,182,1888683,741,161,1513
Python,ReleaseEvent,2049,4734,41516070,117549,100861,360278
Arduino,IssueCommentEvent,137,1098,4658384,28223,6836,71105
Go,PullRequestEvent,1287,12659,125624084,2905151,890657,20062948
Racket,CreateEvent,204,359,9316810,708,322,3421
Dart,ForkEvent,328,1131,32197571,33947,17494,159934
CoffeeScript,CreateEvent,4881,15715,47460389,89341,42156,545655
Haskell,WatchEvent,2004,8303,61534047,220593,107489,1484242
ActionScript,PushEvent,1789,19030,1030532128,176924,77751,840129
Scala,PullRequestReviewCommentEvent,186,9814,1044584506,2381840,441241,6920645
PowerShell,WatchEvent,305,1507,16165823,85282,49864,487656
XML,WatchEvent,51,109,659545,1243,165,3978
XSLT,ForkEvent,240,1148,48391720,1666005,10454,724740
C,ReleaseEvent,1001,2368,109131523,38226,18823,178758
Go,CreateEvent,4037,12904,52059965,89942,40105,825471
XSLT,PushEvent,1097,14961,416135483,52586,59334,151001
Objective-C,PublicEvent,1088,1128,9985877,10,504,207
Emacs Lisp,ForkEvent,897,2799,33720083,304315,25438,771380
VHDL,PushEvent,501,7551,115254359,2975,6992,4691
M,PushEvent,224,1532,45977100,1560,667,10727
OpenEdge ABL,PushEvent,171,1934,132292303,3184,1416,2366
C#,ForkEvent,7096,21220,1065969100,2133653,467467,4665270
Mirah,ForkEvent,21,24,217706,278,255,2987
Common Lisp,IssueCommentEvent,168,2169,9460822,38887,31920,269390
Clojure,CommitCommentEvent,156,812,1314393,17485,9079,189403
TeX,IssuesEvent,532,5791,380704320,32587,125908,149375
Assembly,CreateEvent,585,940,11966722,1153,529,4906
Ruby,PullRequestReviewCommentEvent,2166,42902,5494863327,41092918,2655250,94350820
Emacs Lisp,IssuesEvent,547,4351,55112014,253498,39987,977009
C#,DeleteEvent,1980,8491,778188763,161517,84089,469695
TypeScript,IssuesEvent,307,6820,378797682,1404635,1167953,2482943
PHP,CommitCommentEvent,2845,16613,731082160,1876287,430316,4438677
CoffeeScript,PullRequestEvent,1512,10705,72742360,1178660,225535,5290197
C++,PullRequestReviewCommentEvent,528,22007,2889153237,3858478,1888853,7141214
xBase,PushEvent,36,1084,209656200,578,662,1077
Elixir,CreateEvent,301,805,3000533,4960,978,33898
ASP,ForkEvent,126,204,5720534,2143,283,2618
CSS,TeamAddEvent,779,979,8650499,3130,853,12232
Scheme,IssuesEvent,98,438,2623350,3860,2901,33397
Scala,ForkEvent,1697,6395,263410419,1092093,186585,4050350
C,MemberEvent,1942,2997,137503403,6570,3197,26526
C++,MemberEvent,2421,3752,153116250,7894,4777,41017
ActionScript,PullRequestReviewCommentEvent,9,553,16252503,773,15321,2869
VimL,CreateEvent,1658,6173,4459377,21636,3296,130441
Perl,IssuesEvent,1586,9196,145733872,244416,219065,634593
Factor,IssueCommentEvent,1,199,19602643,14692,50650,58419
Mirah,PushEvent,6,32,1315017,1230,1259,14344
Dart,IssueCommentEvent,205,5523,57066687,425235,338864,2937856
TeX,MemberEvent,585,1014,5919621,382,279,245
Factor,PullRequestReviewCommentEvent,1,18,1733268,1319,3500,5186
Rust,PullRequestReviewCommentEvent,22,3087,696375457,2427636,3805819,11624932
Assembly,IssueCommentEvent,64,964,106196208,56525,18047,296891
C#,MemberEvent,2249,3889,61183159,2968,1918,5161
Mirah,PullRequestEvent,1,4,205352,226,179,2609
Scheme,PushEvent,906,10322,49363953,10762,6294,71401
Haskell,DeleteEvent,431,1329,9728740,8176,5472,44589
Lua,GollumEvent,321,2162,26218524,28371,18069,116665
Racket,PushEvent,491,5227,121700567,80676,28742,311961
Arduino,CommitCommentEvent,48,141,171609,3214,163,6868
Python,TeamAddEvent,1407,1937,28693793,6683,3406,17186
Common Lisp,WatchEvent,625,3005,13203577,49393,15629,416988
Kotlin,CreateEvent,30,436,25080009,3219,2448,2675
Haskell,PullRequestEvent,729,4132,27302161,110442,71633,522747
Elixir,PushEvent,469,5289,27289485,112248,14230,804272
C++,ReleaseEvent,1181,2693,143735258,69532,27234,220977
Objective-C,DeleteEvent,2367,8142,202725987,163648,53393,951383
Groovy,CreateEvent,1436,3709,32223946,6023,5068,14658
Matlab,IssueCommentEvent,129,1198,50080173,24473,26756,51991
Julia,CreateEvent,429,1628,26224544,104745,106531,533947
Scala,GollumEvent,380,2774,47289362,82728,77578,386688
C#,PullRequestReviewCommentEvent,240,4802,486470977,669496,451130,1989696
AppleScript,PushEvent,288,1819,6733984,3142,262,13473
Nimrod,IssueCommentEvent,14,465,133438382,29492,96218,185546
Nimrod,IssuesEvent,22,389,102643312,22770,74295,143560
Objective-C,MemberEvent,1504,2254,13625347,2332,729,15299
Clojure,ForkEvent,1131,4025,16023166,474870,184115,2695257
VimL,PullRequestEvent,572,3290,8695605,406067,39164,2045378
Puppet,ForkEvent,977,3129,7978022,83910,9343,118956
CSS,DeleteEvent,6008,22087,303789065,3035497,88846,8536622
ColdFusion,PushEvent,274,3805,182995553,75202,220536,148680
Forth,PushEvent,12,56,85261,34,68,41
Dart,WatchEvent,528,2805,55285482,93877,59485,559528
Ruby,ReleaseEvent,1345,3312,21251830,101720,14316,450835
Dylan,PushEvent,30,523,17663035,3684,5667,16042
C#,CommitCommentEvent,785,7363,544961372,415212,178737,1079051
R,PullRequestEvent,409,3264,138055497,111237,27303,298222
Awk,ForkEvent,15,38,640520,330,99,2456
Haskell,ForkEvent,1161,2503,16355774,62794,34660,303572
Haskell,IssuesEvent,841,6411,42763291,169585,111760,1046613
Erlang,IssueCommentEvent,338,6704,191392535,1017069,186006,3348516
Awk,PushEvent,92,699,14360291,658,428,1677
CoffeeScript,PullRequestReviewCommentEvent,242,2834,21977268,333439,70456,1769181
F#,PushEvent,560,8640,190906223,68730,33903,197937
C,PullRequestReviewCommentEvent,429,15290,2313682316,5769476,1936652,14630319
D,CommitCommentEvent,43,347,3657407,11399,1499,30903
Clojure,GollumEvent,176,966,5702695,58184,27990,776549
Scheme,ForkEvent,271,702,2529181,11671,1271,24236
R,PublicEvent,113,122,1403166,19,91,14
Julia,PullRequestEvent,162,2533,89187487,576232,532342,2719121
Awk,PullRequestEvent,8,42,1675034,224,110,876
Julia,WatchEvent,296,1782,73606369,465179,470707,2406740
Perl,WatchEvent,3611,12237,158435693,526570,110488,2846516
CSS,ReleaseEvent,1213,2641,12998860,99645,7043,419862
TeX,WatchEvent,818,4343,172587112,145036,37385,789141
Julia,PullRequestReviewCommentEvent,31,820,50399348,322569,330166,1670728
VimL,CommitCommentEvent,135,608,2950017,112078,5292,422806
Puppet,PullRequestEvent,625,5207,29753675,95556,15460,73268
Arduino,WatchEvent,770,2245,8330260,27555,3720,84790
Go,PullRequestReviewCommentEvent,230,4765,59612372,1395520,447765,9746904
Logos,PushEvent,305,2600,33815650,46394,1181,26864
Julia,DeleteEvent,101,641,16573959,75726,78032,387587
XSLT,CommitCommentEvent,57,184,2588813,1557,814,6362
Scala,ReleaseEvent,124,352,2856161,8451,2701,48730
Puppet,IssuesEvent,427,2628,28443681,31650,9885,35839
FORTRAN,ForkEvent,143,288,12905131,3515,2547,6902
Perl,CommitCommentEvent,302,1242,42506813,27059,11532,47782
PowerShell,IssueCommentEvent,112,1566,17443446,97429,57697,538905
Elixir,IssueCommentEvent,95,1691,18669917,163836,22366,1156925
DM,PullRequestReviewCommentEvent,7,1404,534460286,507565,339304,153513
PHP,TeamAddEvent,1690,1901,14730456,4510,3373,10149
VimL,IssuesEvent,688,5529,45353897,490879,66158,3581548
Objective-C,ReleaseEvent,951,2162,20238149,52933,7446,296348
PowerShell,GollumEvent,85,409,2711371,4757,3450,27225
MoonScript,PushEvent,42,545,1151922,325,86,2795
Ada,PushEvent,110,1337,11747259,614,1199,1448
VimL,DeleteEvent,299,1195,3091917,14588,1885,77514
Puppet,PullRequestReviewCommentEvent,104,704,2999601,27273,6036,14798
Matlab,ForkEvent,522,1105,69006087,54932,5246,105496
TeX,PublicEvent,219,251,5287882,0,112,37
Common Lisp,ForkEvent,288,625,6216726,11283,3211,68970
DM,WatchEvent,31,154,47407273,20303,11008,6644
ActionScript,WatchEvent,1021,3723,140210881,247741,58756,1061326
TeX,IssueCommentEvent,460,6457,365180978,103388,132789,410364
ActionScript,ForkEvent,736,1949,73326464,153160,29235,443022
Ruby,TeamAddEvent,1660,2226,19990166,7148,2912,35115
Eiffel,PushEvent,62,963,21977406,4211,2570,3818
Haxe,WatchEvent,458,2058,30133002,46871,33834,219978
CoffeeScript,CommitCommentEvent,362,2331,10128107,71062,21755,494010
Matlab,IssuesEvent,185,1055,43636447,9748,15497,21306
Max,PushEvent,206,1812,135261912,1933,56429,6217
DOT,PushEvent,230,2914,424130678,3535,1133,8300
Logos,PullRequestEvent,38,597,8877912,40504,802,22594
C++,TeamAddEvent,526,659,60534458,3928,1608,8292
Arduino,ForkEvent,605,1302,4206578,20270,2082,36170
Go,DeleteEvent,747,3734,26708047,72676,30214,610428
Elixir,PullRequestEvent,103,793,6562549,58269,7571,407680
Factor,PushEvent,15,263,18920624,5584,21002,22318
Lua,DeleteEvent,387,1485,36871422,2401,1984,5755
OCaml,WatchEvent,536,1970,40453020,30395,11878,230374
R,CreateEvent,6989,15422,19143371,5918,5865,25198
Lasso,PushEvent,27,1487,26382648,469127,54489,336906
Dart,DeleteEvent,104,930,8879717,24045,23786,201295
Coq,WatchEvent,46,133,618682,1506,904,6598
CoffeeScript,DeleteEvent,990,3706,21663341,36238,18115,242698
Clojure,PullRequestEvent,664,4568,16682285,303144,104028,1559648
OCaml,ForkEvent,290,579,10268057,11000,4972,41188
Objective-C,TeamAddEvent,400,563,6025542,2312,470,9970
Agda,CreateEvent,38,60,30556,17,2,106
F#,IssueCommentEvent,105,5092,142586994,214921,104408,604434
F#,CommitCommentEvent,31,212,3714525,2083,763,6960
Squirrel,PushEvent,63,405,874552,826,361,2606
Assembly,GollumEvent,72,406,27958692,1050,819,2569
Lasso,PullRequestEvent,9,731,19429961,647545,75724,462230
Erlang,CreateEvent,1032,4378,107055205,53936,28562,185408
TeX,GollumEvent,341,2493,76429256,9656,20365,22867
AutoHotkey,IssuesEvent,37,225,348887,386,849,1822
ActionScript,CreateEvent,801,1504,35488640,5236,4213,16272
XSLT,WatchEvent,282,1100,24614708,161918,10072,235251
Java,TeamAddEvent,1724,2190,70445590,6209,3774,11598
F#,IssuesEvent,125,1786,42296610,58077,29928,157293
Erlang,DeleteEvent,299,1404,37255687,21513,15136,82658
Perl,DeleteEvent,908,6811,2303364787,110614,24690,165856
Matlab,WatchEvent,541,1385,55166900,89339,9608,191438
