repository_language,type,active_repos_by_url,events,year,quarter
Apex,PushEvent,100,1607,2012,2
Erlang,WatchEvent,1319,14920,2012,2
HaXe,WatchEvent,211,2444,2012,2
Emacs Lisp,IssuesEvent,192,2050,2012,2
Smalltalk,WatchEvent,55,395,2012,2
Dylan,PushEvent,29,498,2012,2
Erlang,ForkEvent,601,4279,2012,2
Common Lisp,WatchEvent,556,3975,2012,2
Verilog,PushEvent,136,4890,2012,2
ActionScript,IssuesEvent,166,3197,2012,2
OCaml,IssuesEvent,39,534,2012,2
Vala,PushEvent,118,3029,2012,2
Io,PushEvent,37,896,2012,2
Factor,PushEvent,29,1226,2012,2
HaXe,ForkEvent,85,393,2012,2
Visual Basic,WatchEvent,88,1645,2012,2
Puppet,WatchEvent,334,2230,2012,2
Arduino,PushEvent,666,9443,2012,2
HaXe,IssuesEvent,43,675,2012,2
XQuery,PushEvent,55,916,2012,2
Objective-C,CreateEvent,38,113,2012,2
Smalltalk,PushEvent,105,4400,2012,2
R,ForkEvent,184,986,2012,2
HaXe,PushEvent,288,8965,2012,2
JavaScript,CreateEvent,99,286,2012,2
Ioke,PushEvent,3,124,2012,2
PHP,CreateEvent,42,119,2012,2
Go,IssuesEvent,189,1686,2012,2
Dylan,IssuesEvent,2,57,2012,2
Apex,WatchEvent,39,317,2012,2
Verilog,ForkEvent,27,97,2012,2
Ada,PushEvent,76,2197,2012,2
Racket,ForkEvent,21,115,2012,2
Assembly,WatchEvent,148,7544,2012,2
C++,CreateEvent,20,56,2012,2
Delphi,WatchEvent,147,1188,2012,2
Objective-J,IssuesEvent,13,381,2012,2
Elixir,IssuesEvent,10,373,2012,2
Lua,ForkEvent,389,2016,2012,2
FORTRAN,IssuesEvent,22,271,2012,2
Max/MSP,PushEvent,8,377,2012,2
Nimrod,IssuesEvent,6,149,2012,2
ColdFusion,ForkEvent,106,643,2012,2
Rust,WatchEvent,79,1139,2012,2
Mirah,PushEvent,6,765,2012,2
Assembly,ForkEvent,95,1645,2012,2
AutoHotkey,IssuesEvent,11,85,2012,2
Julia,PushEvent,77,4208,2012,2
Common Lisp,ForkEvent,202,932,2012,2
Lua,IssuesEvent,162,2255,2012,2
Dart,PushEvent,178,5301,2012,2
D,WatchEvent,248,2623,2012,2
DCPU-16 ASM,PushEvent,96,2481,2012,2
